strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,profit_objective,sizing,prob_10y,prob_15y,prob_20y,bankruptcy_prob,p90_max_dd,final_status,up_threshold,score_threshold,nikkei_filter,tp_multiplier,sl_multiplier,hold_days,oos_validation_pf_ratio,fold,oos_end,multi_oos_folds,oos_positive_folds,multi_oos_pass
UP20_SCORE80_NIKKEION_TP4.0_SL1.0_H1,20,80,True,4.0,1.0,1,113,8,59,7.500882282753912,54.08549681970776,-4.24385553290244,54.16437007874016,20,27,74.07407407407408,74.07407407407408,43.45808845563616,434580.8845563616,-1.9546222988466424,317748.92980773846,317748.92980773846,3178489298.077385,7.500882282753912,8.224441794807737,-1.995836312952534,46,5,26,6.255658168439589,21.74923686073301,-4.24385553290244,45.90573770491803,10,14,71.42857142857143,71.42857142857143,25.44680612737186,254468.06127371863,-1.9546222988466424,1469.241335264925,1469.241335264925,15692413.352649253,6.255658168439589,7.356798802352944,-2.7736950296499274,68,3,33,8.497610786012402,276.394769164089,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,60.518561161544106,605185.611615441,0.0,23800.449558641743,23800.449558641743,239004495.5864174,8.497610786012402,8.922088443141753,-0.6994051184568787,156.68749914882773,156.1583986197272,156.2496109671527,156.1583986197272,61,7,29,8.062700462912671,29.0192524909728,-6.334312005963838,44.7394578313253,10,17,58.82352941176471,52.94117647058824,39.5095974145446,395095.974145446,-6.334312005963827,10260.602378774056,10260.602378774056,103606023.78774056,8.062700462912671,9.432922736773756,-2.507585649729992,4.983791445326597,True,52,7,20,6.348027178143583,24.41926477886866,-7.384346214793769,54.11111111111111,9,12,75.0,75.0,35.487276326500215,354872.76326500217,-5.261958773024866,2228.740637369565,2228.740637369565,23287406.37369565,6.348027178143583,7.648723023935847,-2.0135889733781127,0.8414849688655803,False,True,281.0784696135562,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,80,True,4.0,1.0,1,0.8414849688655803,1,2023-08-31,4,1,True
UP20_SCORE80_NIKKEION_TP3.5_SL1.0_H1,20,80,True,3.5,1.0,1,113,8,51,7.143459838951357,51.55593465774746,-4.24385553290244,54.16437007874016,20,27,74.07407407407408,74.07407407407408,41.32039659445592,413203.9659445592,-1.9546222988466424,221299.0018035069,221299.0018035069,2213990018.0350685,7.143459838951357,7.839787164810701,-1.995836312952534,46,5,24,5.99252742312467,20.87646504154611,-4.24385553290244,45.90573770491803,10,14,71.42857142857143,71.42857142857143,24.16189293208931,241618.9293208931,-1.9546222988466424,1301.9669063098877,1301.9669063098877,14019669.063098878,5.99252742312467,7.06157894175572,-2.7736950296499274,68,3,27,8.04839040702804,261.8362131546938,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,57.3784180793657,573784.180793657,0.0,18177.037038936945,18177.037038936945,182770370.38936943,8.04839040702804,8.452134815896576,-0.6994051184568787,156.68749914882773,156.1583986197272,156.2496109671527,156.1583986197272,61,7,24,7.70918436914588,27.79072406722235,-6.334312005963838,44.7394578313253,10,17,58.82352941176471,52.94117647058824,36.639151021837286,366391.51021837286,-6.334312005963827,8536.307368480968,8536.307368480968,86363073.68480968,7.70918436914588,9.033580482703863,-2.507585649729992,4.886272586492495,True,52,7,17,5.716847229444425,22.090703490947217,-7.384346214793758,54.11111111111111,9,12,75.0,75.0,31.09952167123756,310995.2167123756,-5.261958773024866,1626.3217469349304,1626.3217469349304,17263217.469349302,5.716847229444425,6.919359527661264,-2.0135889733781127,0.7948948518762058,False,True,281.0784696135562,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,80,True,3.5,1.0,1,0.7948948518762058,1,2023-08-31,4,1,True
UP25_SCORE80_NIKKEION_TP3.5_SL1.0_H1,25,80,True,3.5,1.0,1,113,8,51,7.143459838951357,51.55593465774746,-4.24385553290244,54.16437007874016,20,27,74.07407407407408,74.07407407407408,41.32039659445592,413203.9659445592,-1.9546222988466424,221299.0018035069,221299.0018035069,2213990018.0350685,7.143459838951357,7.839787164810701,-1.995836312952534,46,5,24,5.99252742312467,20.87646504154611,-4.24385553290244,45.90573770491803,10,14,71.42857142857143,71.42857142857143,24.16189293208931,241618.9293208931,-1.9546222988466424,1301.9669063098877,1301.9669063098877,14019669.063098878,5.99252742312467,7.06157894175572,-2.7736950296499274,68,3,27,8.04839040702804,261.8362131546938,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,57.3784180793657,573784.180793657,0.0,18177.037038936945,18177.037038936945,182770370.38936943,8.04839040702804,8.452134815896576,-0.6994051184568787,156.68749914882773,156.1583986197272,156.2496109671527,156.1583986197272,61,7,24,7.70918436914588,27.79072406722235,-6.334312005963838,44.7394578313253,10,17,58.82352941176471,52.94117647058824,36.639151021837286,366391.51021837286,-6.334312005963827,8536.307368480968,8536.307368480968,86363073.68480968,7.70918436914588,9.033580482703863,-2.507585649729992,4.886272586492495,True,52,7,17,5.716847229444425,22.090703490947217,-7.384346214793758,54.11111111111111,9,12,75.0,75.0,31.09952167123756,310995.2167123756,-5.261958773024866,1626.3217469349304,1626.3217469349304,17263217.469349302,5.716847229444425,6.919359527661264,-2.0135889733781127,0.7948948518762058,False,True,281.0784696135562,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,80,True,3.5,1.0,1,0.7948948518762058,1,2023-08-31,4,1,True
UP25_SCORE80_NIKKEION_TP4.0_SL1.0_H1,25,80,True,4.0,1.0,1,113,8,59,7.500882282753912,54.08549681970776,-4.24385553290244,54.16437007874016,20,27,74.07407407407408,74.07407407407408,43.45808845563616,434580.8845563616,-1.9546222988466424,317748.92980773846,317748.92980773846,3178489298.077385,7.500882282753912,8.224441794807737,-1.995836312952534,46,5,26,6.255658168439589,21.74923686073301,-4.24385553290244,45.90573770491803,10,14,71.42857142857143,71.42857142857143,25.44680612737186,254468.06127371863,-1.9546222988466424,1469.241335264925,1469.241335264925,15692413.352649253,6.255658168439589,7.356798802352944,-2.7736950296499274,68,3,33,8.497610786012402,276.394769164089,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,60.518561161544106,605185.611615441,0.0,23800.449558641743,23800.449558641743,239004495.5864174,8.497610786012402,8.922088443141753,-0.6994051184568787,156.68749914882773,156.1583986197272,156.2496109671527,156.1583986197272,61,7,29,8.062700462912671,29.0192524909728,-6.334312005963838,44.7394578313253,10,17,58.82352941176471,52.94117647058824,39.5095974145446,395095.974145446,-6.334312005963827,10260.602378774056,10260.602378774056,103606023.78774056,8.062700462912671,9.432922736773756,-2.507585649729992,4.983791445326597,True,52,7,20,6.348027178143583,24.41926477886866,-7.384346214793769,54.11111111111111,9,12,75.0,75.0,35.487276326500215,354872.76326500217,-5.261958773024866,2228.740637369565,2228.740637369565,23287406.37369565,6.348027178143583,7.648723023935847,-2.0135889733781127,0.8414849688655803,False,True,281.0784696135562,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,80,True,4.0,1.0,1,0.8414849688655803,1,2023-08-31,4,1,True
UP30_SCORE80_NIKKEION_TP3.5_SL1.0_H1,30,80,True,3.5,1.0,1,113,8,51,7.143459838951357,51.55593465774746,-4.24385553290244,54.16437007874016,20,27,74.07407407407408,74.07407407407408,41.32039659445592,413203.9659445592,-1.9546222988466424,221299.0018035069,221299.0018035069,2213990018.0350685,7.143459838951357,7.839787164810701,-1.995836312952534,46,5,24,5.99252742312467,20.87646504154611,-4.24385553290244,45.90573770491803,10,14,71.42857142857143,71.42857142857143,24.16189293208931,241618.9293208931,-1.9546222988466424,1301.9669063098877,1301.9669063098877,14019669.063098878,5.99252742312467,7.06157894175572,-2.7736950296499274,68,3,27,8.04839040702804,261.8362131546938,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,57.3784180793657,573784.180793657,0.0,18177.037038936945,18177.037038936945,182770370.38936943,8.04839040702804,8.452134815896576,-0.6994051184568787,156.68749914882773,156.1583986197272,156.2496109671527,156.1583986197272,61,7,24,7.70918436914588,27.79072406722235,-6.334312005963838,44.7394578313253,10,17,58.82352941176471,52.94117647058824,36.639151021837286,366391.51021837286,-6.334312005963827,8536.307368480968,8536.307368480968,86363073.68480968,7.70918436914588,9.033580482703863,-2.507585649729992,4.886272586492495,True,52,7,17,5.716847229444425,22.090703490947217,-7.384346214793758,54.11111111111111,9,12,75.0,75.0,31.09952167123756,310995.2167123756,-5.261958773024866,1626.3217469349304,1626.3217469349304,17263217.469349302,5.716847229444425,6.919359527661264,-2.0135889733781127,0.7948948518762058,False,True,281.0784696135562,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,80,True,3.5,1.0,1,0.7948948518762058,1,2023-08-31,4,1,True
UP30_SCORE80_NIKKEION_TP4.0_SL1.0_H1,30,80,True,4.0,1.0,1,113,8,59,7.500882282753912,54.08549681970776,-4.24385553290244,54.16437007874016,20,27,74.07407407407408,74.07407407407408,43.45808845563616,434580.8845563616,-1.9546222988466424,317748.92980773846,317748.92980773846,3178489298.077385,7.500882282753912,8.224441794807737,-1.995836312952534,46,5,26,6.255658168439589,21.74923686073301,-4.24385553290244,45.90573770491803,10,14,71.42857142857143,71.42857142857143,25.44680612737186,254468.06127371863,-1.9546222988466424,1469.241335264925,1469.241335264925,15692413.352649253,6.255658168439589,7.356798802352944,-2.7736950296499274,68,3,33,8.497610786012402,276.394769164089,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,60.518561161544106,605185.611615441,0.0,23800.449558641743,23800.449558641743,239004495.5864174,8.497610786012402,8.922088443141753,-0.6994051184568787,156.68749914882773,156.1583986197272,156.2496109671527,156.1583986197272,61,7,29,8.062700462912671,29.0192524909728,-6.334312005963838,44.7394578313253,10,17,58.82352941176471,52.94117647058824,39.5095974145446,395095.974145446,-6.334312005963827,10260.602378774056,10260.602378774056,103606023.78774056,8.062700462912671,9.432922736773756,-2.507585649729992,4.983791445326597,True,52,7,20,6.348027178143583,24.41926477886866,-7.384346214793769,54.11111111111111,9,12,75.0,75.0,35.487276326500215,354872.76326500217,-5.261958773024866,2228.740637369565,2228.740637369565,23287406.37369565,6.348027178143583,7.648723023935847,-2.0135889733781127,0.8414849688655803,False,True,281.0784696135562,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,80,True,4.0,1.0,1,0.8414849688655803,1,2023-08-31,4,1,True
UP20_SCORE80_NIKKEION_TP4.0_SL1.5_H1,20,80,True,4.0,1.5,1,113,8,58,7.540729737113439,44.31785338531666,-6.315783299353672,54.16437007874016,20,27,74.07407407407408,74.07407407407408,44.31107155418714,443110.7155418714,-2.856373291418912,330118.4853280797,330118.4853280797,3302184853.280797,7.540729737113439,8.302603716776405,-2.458866245962957,46,5,26,6.1751312235682105,17.164607606202132,-6.315783299353672,45.90573770491803,10,14,71.42857142857143,71.42857142857143,25.057130716905284,250571.3071690529,-2.856373291418912,1409.9386489494248,1409.9386489494248,15099386.489494247,6.1751312235682105,7.356798802352944,-3.514542922466604,68,3,32,8.618301989052254,280.30618930773784,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,62.55327540493046,625532.7540493045,0.0,25705.78859564733,25705.78859564733,258057885.9564733,8.618301989052254,9.04835000939883,-0.6994051184568787,156.6253413158342,156.09624078673366,156.2496109671527,156.09624078673366,61,7,28,8.113365740531737,23.93626327921073,-8.73439049148319,44.7394578313253,10,17,58.82352941176471,52.94117647058824,39.95710725387437,399571.07253874367,-8.734390491483202,10520.541056779775,10520.541056779775,106205410.56779777,8.113365740531737,9.56468820105495,-3.082550383504484,4.972667286082022,True,52,7,20,6.242258165620599,17.565224708962322,-10.675581909594456,54.11111111111111,9,12,75.0,75.0,35.04008579914797,350400.8579914796,-7.649808835092687,2100.4158124791397,2100.4158124791397,22004158.1247914,6.242258165620599,7.648723023935847,-2.799301637834568,0.7338332012841025,False,True,280.97973254271216,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,80,True,4.0,1.5,1,0.7338332012841025,1,2023-08-31,4,1,True
UP20_SCORE80_NIKKEION_TP3.5_SL1.5_H1,20,80,True,3.5,1.5,1,113,8,51,7.10239365475136,41.799824121411085,-6.315783299353672,54.16437007874016,20,27,74.07407407407408,74.07407407407408,41.078698924311,410786.98924310994,-2.856373291418912,211076.4814827561,211076.4814827561,2111764814.827561,7.10239365475136,7.83087059956769,-2.458866245962957,46,5,24,5.891647448894244,16.422533662438745,-6.315783299353672,45.90573770491803,10,14,71.42857142857143,71.42857142857143,23.695761711095532,236957.61711095533,-2.856373291418912,1237.2347482060663,1237.2347482060663,13372347.482060663,5.891647448894244,7.038743835645567,-3.514542922466604,68,3,27,8.04839040702804,261.8362131546938,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,57.3784180793657,573784.180793657,0.0,18177.037038936945,18177.037038936945,182770370.38936943,8.04839040702804,8.452134815896576,-0.6994051184568787,156.6253413158342,156.09624078673366,156.2496109671527,156.09624078673366,61,7,24,7.631929002450264,22.575254774225304,-8.734390491483202,44.7394578313253,10,17,58.82352941176471,52.94117647058824,36.405670768430525,364056.70768430526,-8.734390491483202,8132.494389207351,8132.494389207351,82324943.89207351,7.631929002450264,9.02084299692588,-3.082550383504484,4.635012001476381,True,52,7,16,5.690968113732642,16.102253561816315,-10.675581909594444,54.11111111111111,9,12,75.0,75.0,31.31282869068994,313128.2869068994,-7.649808835092687,1595.430461834262,1595.430461834262,16954304.61834262,5.690968113732642,7.011676741754209,-2.799301637834568,0.7132700703870077,False,True,280.97973254271216,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,80,True,3.5,1.5,1,0.7132700703870077,1,2023-08-31,4,1,True
UP25_SCORE80_NIKKEION_TP3.5_SL1.5_H1,25,80,True,3.5,1.5,1,113,8,51,7.10239365475136,41.799824121411085,-6.315783299353672,54.16437007874016,20,27,74.07407407407408,74.07407407407408,41.078698924311,410786.98924310994,-2.856373291418912,211076.4814827561,211076.4814827561,2111764814.827561,7.10239365475136,7.83087059956769,-2.458866245962957,46,5,24,5.891647448894244,16.422533662438745,-6.315783299353672,45.90573770491803,10,14,71.42857142857143,71.42857142857143,23.695761711095532,236957.61711095533,-2.856373291418912,1237.2347482060663,1237.2347482060663,13372347.482060663,5.891647448894244,7.038743835645567,-3.514542922466604,68,3,27,8.04839040702804,261.8362131546938,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,57.3784180793657,573784.180793657,0.0,18177.037038936945,18177.037038936945,182770370.38936943,8.04839040702804,8.452134815896576,-0.6994051184568787,156.6253413158342,156.09624078673366,156.2496109671527,156.09624078673366,61,7,24,7.631929002450264,22.575254774225304,-8.734390491483202,44.7394578313253,10,17,58.82352941176471,52.94117647058824,36.405670768430525,364056.70768430526,-8.734390491483202,8132.494389207351,8132.494389207351,82324943.89207351,7.631929002450264,9.02084299692588,-3.082550383504484,4.635012001476381,True,52,7,16,5.690968113732642,16.102253561816315,-10.675581909594444,54.11111111111111,9,12,75.0,75.0,31.31282869068994,313128.2869068994,-7.649808835092687,1595.430461834262,1595.430461834262,16954304.61834262,5.690968113732642,7.011676741754209,-2.799301637834568,0.7132700703870077,False,True,280.97973254271216,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,80,True,3.5,1.5,1,0.7132700703870077,1,2023-08-31,4,1,True
UP25_SCORE80_NIKKEION_TP4.0_SL1.5_H1,25,80,True,4.0,1.5,1,113,8,58,7.540729737113439,44.31785338531666,-6.315783299353672,54.16437007874016,20,27,74.07407407407408,74.07407407407408,44.31107155418714,443110.7155418714,-2.856373291418912,330118.4853280797,330118.4853280797,3302184853.280797,7.540729737113439,8.302603716776405,-2.458866245962957,46,5,26,6.1751312235682105,17.164607606202132,-6.315783299353672,45.90573770491803,10,14,71.42857142857143,71.42857142857143,25.057130716905284,250571.3071690529,-2.856373291418912,1409.9386489494248,1409.9386489494248,15099386.489494247,6.1751312235682105,7.356798802352944,-3.514542922466604,68,3,32,8.618301989052254,280.30618930773784,-1.2034439520526077,86.23958333333333,10,14,71.42857142857143,71.42857142857143,62.55327540493046,625532.7540493045,0.0,25705.78859564733,25705.78859564733,258057885.9564733,8.618301989052254,9.04835000939883,-0.6994051184568787,156.6253413158342,156.09624078673366,156.2496109671527,156.09624078673366,61,7,28,8.113365740531737,23.93626327921073,-8.73439049148319,44.7394578313253,10,17,58.82352941176471,52.94117647058824,39.95710725387437,399571.07253874367,-8.734390491483202,10520.541056779775,10520.541056779775,106205410.56779777,8.113365740531737,9.56468820105495,-3.082550383504484,4.972667286082022,True,52,7,20,6.242258165620599,17.565224708962322,-10.675581909594456,54.11111111111111,9,12,75.0,75.0,35.04008579914797,350400.8579914796,-7.649808835092687,2100.4158124791397,2100.4158124791397,22004158.1247914,6.242258165620599,7.648723023935847,-2.799301637834568,0.7338332012841025,False,True,280.97973254271216,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,80,True,4.0,1.5,1,0.7338332012841025,1,2023-08-31,4,1,True
