strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,profit_objective,sizing,prob_10y,prob_15y,prob_20y,bankruptcy_prob,p90_max_dd,final_status,up_threshold,score_threshold,nikkei_filter,tp_multiplier,sl_multiplier,hold_days,oos_validation_pf_ratio,fold,oos_end,multi_oos_folds,oos_positive_folds,multi_oos_pass
UP20_SCORE70_NIKKEIOFF_TP3.0_SL1.0_H1,20,70,False,3.0,1.0,1,163,36,52,4.712386518771915,9.496936710373916,-17.014209680179714,111.9093045112782,16,19,84.21052631578947,73.68421052631578,56.43347497250304,564334.7497250304,-3.127272509251866,154403.31425198878,154403.31425198878,1545033142.519888,4.712386518771915,6.759988368903214,-2.5110977858579475,95,12,28,5.213533485365742,18.705927361655565,-8.22700958633783,128.03966789667896,9,10,90.0,80.0,70.34068980067966,703406.8980067965,-2.136591809799082,11619.571298184945,11619.571298184945,117195712.98184945,5.213533485365742,6.304319945142945,-2.331072861426571,68,24,24,4.012254727207009,5.370462601052364,-17.014209680179714,98.1699604743083,7,9,77.77777777777779,66.66666666666666,40.98101405230679,409810.1405230679,-3.127272509251866,1218.3358872172846,1218.3358872172846,13183358.872172846,4.012254727207009,7.619544713723726,-2.6011102480736352,155.7949955930156,157.75318971240986,153.34128913373846,153.34128913373846,93,25,25,5.056874449827687,7.423846792332156,-22.73131532409037,115.14661016949152,10,11,90.9090909090909,81.81818181818183,67.25665975656445,672566.5975656444,-19.1415042057272,8435.722834154478,8435.722834154478,85357228.34154478,5.056874449827687,7.992635970956506,-2.9283968876426965,1.2290674497788665,True,202,45,50,5.016500146852552,10.533336082081222,-9.321542716767128,102.47291666666668,21,24,87.5,79.16666666666666,57.612995339755486,576129.9533975548,-9.32154271676714,1593161.2375121957,1593161.2375121957,15932612375.121956,5.016500146852552,7.131380085712424,-2.362080973169665,1.4188514898988425,False,True,281.8536870518303,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,70,False,3.0,1.0,1,1.4188514898988425,1,2023-08-31,4,1,True
UP25_SCORE70_NIKKEIOFF_TP3.0_SL1.0_H1,25,70,False,3.0,1.0,1,163,36,52,4.712386518771915,9.496936710373916,-17.014209680179714,111.9093045112782,16,19,84.21052631578947,73.68421052631578,56.43347497250304,564334.7497250304,-3.127272509251866,154403.31425198878,154403.31425198878,1545033142.519888,4.712386518771915,6.759988368903214,-2.5110977858579475,95,12,28,5.213533485365742,18.705927361655565,-8.22700958633783,128.03966789667896,9,10,90.0,80.0,70.34068980067966,703406.8980067965,-2.136591809799082,11619.571298184945,11619.571298184945,117195712.98184945,5.213533485365742,6.304319945142945,-2.331072861426571,68,24,24,4.012254727207009,5.370462601052364,-17.014209680179714,98.1699604743083,7,9,77.77777777777779,66.66666666666666,40.98101405230679,409810.1405230679,-3.127272509251866,1218.3358872172846,1218.3358872172846,13183358.872172846,4.012254727207009,7.619544713723726,-2.6011102480736352,155.7949955930156,157.75318971240986,153.34128913373846,153.34128913373846,93,25,25,5.056874449827687,7.423846792332156,-22.73131532409037,115.14661016949152,10,11,90.9090909090909,81.81818181818183,67.25665975656445,672566.5975656444,-19.1415042057272,8435.722834154478,8435.722834154478,85357228.34154478,5.056874449827687,7.992635970956506,-2.9283968876426965,1.2290674497788665,True,202,45,50,5.016500146852552,10.533336082081222,-9.321542716767128,102.47291666666668,21,24,87.5,79.16666666666666,57.612995339755486,576129.9533975548,-9.32154271676714,1593161.2375121957,1593161.2375121957,15932612375.121956,5.016500146852552,7.131380085712424,-2.362080973169665,1.4188514898988425,False,True,281.8536870518303,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,70,False,3.0,1.0,1,1.4188514898988425,1,2023-08-31,4,1,True
UP30_SCORE70_NIKKEIOFF_TP3.0_SL1.0_H1,30,70,False,3.0,1.0,1,163,36,52,4.712386518771915,9.496936710373916,-17.014209680179714,111.9093045112782,16,19,84.21052631578947,73.68421052631578,56.43347497250304,564334.7497250304,-3.127272509251866,154403.31425198878,154403.31425198878,1545033142.519888,4.712386518771915,6.759988368903214,-2.5110977858579475,95,12,28,5.213533485365742,18.705927361655565,-8.22700958633783,128.03966789667896,9,10,90.0,80.0,70.34068980067966,703406.8980067965,-2.136591809799082,11619.571298184945,11619.571298184945,117195712.98184945,5.213533485365742,6.304319945142945,-2.331072861426571,68,24,24,4.012254727207009,5.370462601052364,-17.014209680179714,98.1699604743083,7,9,77.77777777777779,66.66666666666666,40.98101405230679,409810.1405230679,-3.127272509251866,1218.3358872172846,1218.3358872172846,13183358.872172846,4.012254727207009,7.619544713723726,-2.6011102480736352,155.7949955930156,157.75318971240986,153.34128913373846,153.34128913373846,93,25,25,5.056874449827687,7.423846792332156,-22.73131532409037,115.14661016949152,10,11,90.9090909090909,81.81818181818183,67.25665975656445,672566.5975656444,-19.1415042057272,8435.722834154478,8435.722834154478,85357228.34154478,5.056874449827687,7.992635970956506,-2.9283968876426965,1.2290674497788665,True,202,45,50,5.016500146852552,10.533336082081222,-9.321542716767128,102.47291666666668,21,24,87.5,79.16666666666666,57.612995339755486,576129.9533975548,-9.32154271676714,1593161.2375121957,1593161.2375121957,15932612375.121956,5.016500146852552,7.131380085712424,-2.362080973169665,1.4188514898988425,False,True,281.8536870518303,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,70,False,3.0,1.0,1,1.4188514898988425,1,2023-08-31,4,1,True
UP25_SCORE70_NIKKEIOFF_TP3.5_SL1.0_H1,25,70,False,3.5,1.0,1,163,36,67,5.079459471399053,9.943985967166222,-17.014209680179704,111.9093045112782,16,19,84.21052631578947,78.94736842105263,63.2114799848413,632114.799848413,-3.044597981308639,266827.2341915093,266827.2341915093,2669272341.915093,5.079459471399053,7.248210150433939,-2.5714109796406905,95,12,39,5.677525382255129,20.2817121620756,-8.22700958633783,128.03966789667896,9,10,90.0,90.0,78.4924299896659,784924.299896659,-2.136591809799082,17546.31786819262,17546.31786819262,176463178.6819262,5.677525382255129,6.835395007847662,-2.331072861426571,68,24,28,4.243926213585418,5.467434529925044,-17.014209680179736,98.1699604743083,7,9,77.77777777777779,66.66666666666666,46.23264664614727,462326.4664614728,-3.044597981308639,1412.6511728129065,1412.6511728129065,15126511.728129065,4.243926213585418,8.026929623948966,-2.69158003874775,157.27904739380512,159.75318971240986,153.68879636330607,153.68879636330607,93,25,29,5.7058191224638,7.980616810812035,-22.731315324090385,115.14661016949152,10,11,90.9090909090909,81.81818181818183,80.41900114587493,804190.0114587493,-20.68219210223973,14532.501247737002,14532.501247737002,146325012.47737002,5.7058191224638,8.921434594269126,-3.040654960846679,1.5014612044385038,True,202,47,67,5.433145744137655,10.97859249047622,-9.321542716767128,102.47291666666668,20,24,83.33333333333334,79.16666666666666,64.39345404960608,643934.5404960607,-9.32154271676714,3383844.360045316,3383844.360045316,33839443600.45316,5.433145744137655,7.790196353736378,-2.340106266241114,1.375657139132725,False,True,281.8536870518303,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,70,False,3.5,1.0,1,1.375657139132725,1,2023-08-31,4,1,True
UP20_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H1,20,50,False,3.0,1.0,1,172,41,58,4.337903237216043,8.140923778308661,-18.2093197944726,117.86679174484053,16,19,84.21052631578947,73.68421052631578,55.29183725311268,552918.3725311268,-6.35186125227002,125302.60167691144,125302.60167691144,1254026016.7691145,4.337903237216043,6.493162960413496,-2.548414414951428,99,15,29,4.965060300792621,14.875283397941237,-8.227009586337818,132.9402573529412,9,10,90.0,80.0,69.90576272406416,699057.6272406415,-2.136591809799082,11170.469814890666,11170.469814890666,112704698.14890666,4.965060300792621,6.273412171512409,-2.361710175238187,73,26,29,3.4873751646943814,4.686371647604223,-18.209319794472588,105.38833992094862,7,9,77.77777777777779,66.66666666666666,39.054142285388814,390541.4228538881,-6.35186125227002,1012.6652547458864,1012.6652547458864,11126652.547458865,3.4873751646943814,6.885909051215439,-2.6561283994013745,155.19741736725302,157.7007801635988,152.29857663986368,152.29857663986368,94,25,25,5.191314706936874,7.539042523099384,-23.86283164010148,116.38474576271186,10,11,90.9090909090909,90.9090909090909,69.80472722491376,698047.2722491376,-20.325589422954405,9933.268132499194,9933.268132499194,100332681.32499194,5.191314706936874,8.153764270056012,-2.98504608727194,0.9223409626945815,True,209,49,52,4.998743329062826,9.863657855199037,-9.694936474862004,106.02395833333334,20,24,83.33333333333334,79.16666666666666,61.42694487233725,614269.4487233725,-9.32154271676714,2107942.39741627,2107942.39741627,21080423974.1627,4.998743329062826,7.266280463895155,-2.405459560185595,1.3083435761208542,False,True,281.8406002326817,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,50,False,3.0,1.0,1,1.3083435761208542,1,2023-08-31,4,1,True
UP30_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H1,30,50,False,3.0,1.0,1,172,41,58,4.337903237216043,8.140923778308661,-18.2093197944726,117.86679174484053,16,19,84.21052631578947,73.68421052631578,55.29183725311268,552918.3725311268,-6.35186125227002,125302.60167691144,125302.60167691144,1254026016.7691145,4.337903237216043,6.493162960413496,-2.548414414951428,99,15,29,4.965060300792621,14.875283397941237,-8.227009586337818,132.9402573529412,9,10,90.0,80.0,69.90576272406416,699057.6272406415,-2.136591809799082,11170.469814890666,11170.469814890666,112704698.14890666,4.965060300792621,6.273412171512409,-2.361710175238187,73,26,29,3.4873751646943814,4.686371647604223,-18.209319794472588,105.38833992094862,7,9,77.77777777777779,66.66666666666666,39.054142285388814,390541.4228538881,-6.35186125227002,1012.6652547458864,1012.6652547458864,11126652.547458865,3.4873751646943814,6.885909051215439,-2.6561283994013745,155.19741736725302,157.7007801635988,152.29857663986368,152.29857663986368,94,25,25,5.191314706936874,7.539042523099384,-23.86283164010148,116.38474576271186,10,11,90.9090909090909,90.9090909090909,69.80472722491376,698047.2722491376,-20.325589422954405,9933.268132499194,9933.268132499194,100332681.32499194,5.191314706936874,8.153764270056012,-2.98504608727194,0.9223409626945815,True,209,49,52,4.998743329062826,9.863657855199037,-9.694936474862004,106.02395833333334,20,24,83.33333333333334,79.16666666666666,61.42694487233725,614269.4487233725,-9.32154271676714,2107942.39741627,2107942.39741627,21080423974.1627,4.998743329062826,7.266280463895155,-2.405459560185595,1.3083435761208542,False,True,281.8406002326817,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,50,False,3.0,1.0,1,1.3083435761208542,1,2023-08-31,4,1,True
UP20_SCORE20_NIKKEIOFF_TP4.0_SL1.0_H1,20,20,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,179,32,76,8.247275752724049,19.89530712027913,-11.600680703231712,100.89467592592592,18,22,81.81818181818183,81.81818181818183,132.73622024572632,1327362.2024572631,-5.710174214310626,96850180.62211011,96850180.62211011,968502806221.1012,8.247275752724049,10.574087609876672,-2.441516216070831,5.827628581582733,True,201,58,97,4.141560003340092,6.81351534702099,-24.091744894874022,126.36015490533563,17,20,85.0,80.0,57.57173495591983,575717.3495591984,-8.912212818685983,265445.1996748935,265445.1996748935,2655451996.748935,4.141560003340092,6.822701847281364,-2.468841439480631,0.3424684678567252,False,True,279.8743180296213,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,20,False,4.0,1.0,1,0.3424684678567252,2,2024-09-04,4,1,True
UP25_SCORE20_NIKKEIOFF_TP4.0_SL1.0_H1,25,20,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,179,32,76,8.247275752724049,19.89530712027913,-11.600680703231712,100.89467592592592,18,22,81.81818181818183,81.81818181818183,132.73622024572632,1327362.2024572631,-5.710174214310626,96850180.62211011,96850180.62211011,968502806221.1012,8.247275752724049,10.574087609876672,-2.441516216070831,5.827628581582733,True,201,58,97,4.141560003340092,6.81351534702099,-24.091744894874022,126.36015490533563,17,20,85.0,80.0,57.57173495591983,575717.3495591984,-8.912212818685983,265445.1996748935,265445.1996748935,2655451996.748935,4.141560003340092,6.822701847281364,-2.468841439480631,0.3424684678567252,False,True,279.8743180296213,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,20,False,4.0,1.0,1,0.3424684678567252,2,2024-09-04,4,1,True
UP30_SCORE20_NIKKEIOFF_TP4.0_SL1.0_H1,30,20,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,178,32,75,8.274954138195344,19.85280633842665,-11.600680703231712,100.48608964451314,18,22,81.81818181818183,81.81818181818183,132.32488789254364,1323248.8789254364,-5.710174214310626,93737598.64867158,93737598.64867158,937376986486.7158,8.274954138195344,10.623769558308478,-2.441516216070831,5.797177019410329,True,199,59,94,4.045277441031878,6.498510725538288,-24.091744894874022,125.1028399311532,17,20,85.0,80.0,54.91285494017783,549128.5494017783,-8.912212818685983,203722.2085020882,203722.2085020882,2038222085.0208821,4.045277441031878,6.795823905720645,-2.4814429836533285,0.3273346153062459,False,True,279.61964256864,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,20,False,4.0,1.0,1,0.3273346153062459,2,2024-09-04,4,1,True
UP25_SCORE30_NIKKEIOFF_TP4.0_SL1.0_H1,25,30,False,4.0,1.0,1,173,39,89,5.089756026447966,9.504628937096468,-16.18722293337427,118.55206378986868,16,19,84.21052631578947,73.68421052631578,70.27080866539423,702708.0866539424,-5.4701470256918405,431287.140024171,431287.140024171,4313871400.24171,5.089756026447966,7.343753092099474,-2.654746711944401,99,14,51,5.694434671111301,17.81786748798756,-8.227009586337807,132.9402573529412,9,10,90.0,90.0,84.29039587571182,842903.9587571183,-2.136591809799082,21964.526895448227,21964.526895448227,220645268.9544823,5.694434671111301,7.026704372716991,-2.394345660066108,74,25,38,4.280794055884855,5.524487700388728,-16.187222933374233,106.83201581027669,7,9,77.77777777777779,55.55555555555556,54.6934895428191,546934.8954281909,-5.4701470256918405,1855.116201078225,1855.116201078225,19551162.01078225,4.280794055884855,7.89373556449766,-2.800571300996245,156.25122541726194,159.75318971240986,151.5466855069372,151.5466855069372,271,25,39,6.302630048043929,8.50893033228058,-23.86283164010148,117.6228813559322,10,11,90.9090909090909,90.9090909090909,93.38394785837198,933839.47858372,-21.087535472254835,26489.88172212188,26489.88172212188,265898817.2212188,6.302630048043929,9.692688902225594,-3.18953474366474,1.4710549750171311,True,407,51,78,4.068807946233703,6.597733586274171,-24.091744894874022,106.53125,20,24,83.33333333333334,79.16666666666666,54.92711324684976,549271.1324684976,-9.32154271676714,24769176.348847754,48900960915.48093,489009610154809.25,4.068807946233703,9.098576391140943,-2.4523723804078235,1.359374158653838,False,True,279.5229996610336,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,30,False,4.0,1.0,1,0.2980656395989328,1,2023-08-31,4,2,True
