strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,diagnostic_fold,fold
UP20_SCORE80_NIKKEION_TP3.5_SL1.5_H1,20,80,True,3.5,1.5,1,88,5,37,6.842939954252064,56.831263909326125,-2.74975317467292,42.62864721485411,20,21,95.23809523809524,90.47619047619048,36.08910746768772,360891.0746768772,-2.869980359975166,31626.373828566408,31626.373828566408,317263738.2856641,6.842939954252064,7.385113327394113,-2.157138039905964,37,3,17,5.996097503821847,28.011190037196517,-2.74975317467292,37.12706043956044,9,10,90.0,90.0,26.634360548503604,266343.60548503604,-2.869980359975166,742.5080246426916,742.5080246426916,8425080.246426916,5.996097503821847,6.766737587059972,-2.7378234395435848,51,2,20,7.457315849662223,148.85793048137072,-2.147544556223735,67.00629496402877,11,11,100.0,90.9090909090909,44.68433193967329,446843.3193967329,2.0602169821578364,3665.7058331309777,3665.7058331309777,37657058.33130978,7.457315849662223,7.814190371707598,-1.2861099404495313,160.01274549999792,159.91750740475982,160.11739184513146,159.91750740475982,60,7,20,7.76273465272626,22.888813175552173,-13.857049118240903,44.36234817813765,9,13,69.23076923076923,69.23076923076923,49.06213715275471,490621.3715275471,-4.423406805419372,8137.402929028944,8137.402929028944,82374029.29028945,7.76273465272626,9.189485184118864,-3.0398050849606197,6.265933688700507,True,59,11,20,4.681055765117931,10.40432552518448,-12.514536588398729,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.1927424688318,321927.42468831805,-7.50030360907955,1301.9339313827577,1301.9339313827577,14019339.313827578,4.681055765117931,6.365622312202603,-2.6697800767061013,0.4545594149152945,False,True,1,1
UP25_SCORE80_NIKKEION_TP3.5_SL1.5_H1,25,80,True,3.5,1.5,1,88,5,37,6.842939954252064,56.831263909326125,-2.74975317467292,42.62864721485411,20,21,95.23809523809524,90.47619047619048,36.08910746768772,360891.0746768772,-2.869980359975166,31626.373828566408,31626.373828566408,317263738.2856641,6.842939954252064,7.385113327394113,-2.157138039905964,37,3,17,5.996097503821847,28.011190037196517,-2.74975317467292,37.12706043956044,9,10,90.0,90.0,26.634360548503604,266343.60548503604,-2.869980359975166,742.5080246426916,742.5080246426916,8425080.246426916,5.996097503821847,6.766737587059972,-2.7378234395435848,51,2,20,7.457315849662223,148.85793048137072,-2.147544556223735,67.00629496402877,11,11,100.0,90.9090909090909,44.68433193967329,446843.3193967329,2.0602169821578364,3665.7058331309777,3665.7058331309777,37657058.33130978,7.457315849662223,7.814190371707598,-1.2861099404495313,160.01274549999792,159.91750740475982,160.11739184513146,159.91750740475982,60,7,20,7.76273465272626,22.888813175552173,-13.857049118240903,44.36234817813765,9,13,69.23076923076923,69.23076923076923,49.06213715275471,490621.3715275471,-4.423406805419372,8137.402929028944,8137.402929028944,82374029.29028945,7.76273465272626,9.189485184118864,-3.0398050849606197,6.265933688700507,True,59,11,20,4.681055765117931,10.40432552518448,-12.514536588398729,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.1927424688318,321927.42468831805,-7.50030360907955,1301.9339313827577,1301.9339313827577,14019339.313827578,4.681055765117931,6.365622312202603,-2.6697800767061013,0.4545594149152945,False,True,1,1
UP30_SCORE80_NIKKEION_TP3.5_SL1.5_H1,30,80,True,3.5,1.5,1,88,5,37,6.842939954252064,56.831263909326125,-2.74975317467292,42.62864721485411,20,21,95.23809523809524,90.47619047619048,36.08910746768772,360891.0746768772,-2.869980359975166,31626.373828566408,31626.373828566408,317263738.2856641,6.842939954252064,7.385113327394113,-2.157138039905964,37,3,17,5.996097503821847,28.011190037196517,-2.74975317467292,37.12706043956044,9,10,90.0,90.0,26.634360548503604,266343.60548503604,-2.869980359975166,742.5080246426916,742.5080246426916,8425080.246426916,5.996097503821847,6.766737587059972,-2.7378234395435848,51,2,20,7.457315849662223,148.85793048137072,-2.147544556223735,67.00629496402877,11,11,100.0,90.9090909090909,44.68433193967329,446843.3193967329,2.0602169821578364,3665.7058331309777,3665.7058331309777,37657058.33130978,7.457315849662223,7.814190371707598,-1.2861099404495313,160.01274549999792,159.91750740475982,160.11739184513146,159.91750740475982,60,7,20,7.76273465272626,22.888813175552173,-13.857049118240903,44.36234817813765,9,13,69.23076923076923,69.23076923076923,49.06213715275471,490621.3715275471,-4.423406805419372,8137.402929028944,8137.402929028944,82374029.29028945,7.76273465272626,9.189485184118864,-3.0398050849606197,6.265933688700507,True,59,11,20,4.681055765117931,10.40432552518448,-12.514536588398729,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.1927424688318,321927.42468831805,-7.50030360907955,1301.9339313827577,1301.9339313827577,14019339.313827578,4.681055765117931,6.365622312202603,-2.6697800767061013,0.4545594149152945,False,True,1,1
UP25_SCORE80_NIKKEION_TP3.5_SL1.75_H1,25,80,True,3.5,1.75,1,88,5,37,6.832998523840703,52.56742933539236,-3.1777864132525924,42.62864721485411,20,21,95.23809523809524,90.47619047619048,36.03507242309479,360350.7242309479,-3.316792997595319,31341.43096074759,31341.43096074759,314414309.6074759,6.832998523840703,7.385113327394113,-2.332107215145929,37,3,17,5.972453020681311,25.31481883199684,-3.1777864132525924,37.12706043956044,9,10,90.0,90.0,26.52088695485845,265208.8695485845,-3.316792997595319,734.9412395446137,734.9412395446137,8349412.3954461375,5.972453020681311,6.766737587059972,-3.0294387316101936,51,2,20,7.457315849662223,148.85793048137072,-2.147544556223735,67.00629496402877,11,11,100.0,90.9090909090909,44.68433193967329,446843.3193967329,2.0602169821578364,3665.7058331309777,3665.7058331309777,37657058.33130978,7.457315849662223,7.814190371707598,-1.2861099404495313,159.99990450284054,159.90466640760243,160.11739184513146,159.90466640760243,60,8,20,7.42169138923239,17.953128523414776,-15.873005101034645,44.36234817813765,9,13,69.23076923076923,69.23076923076923,45.57676075006834,455767.60750068334,-5.107889368031704,6676.952791158115,6676.952791158115,67769527.91158114,7.42169138923239,9.068617484058755,-3.283328227138993,5.907553770504109,True,59,11,19,4.698556965470528,10.141213495842596,-14.349417791072982,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.615048433065006,326150.48433065007,-8.638874910678396,1315.6320192468354,1315.6320192468354,14156320.192468353,4.698556965470528,6.407097670261567,-2.75689338270856,0.5648716591437672,False,True,1,1
UP20_SCORE80_NIKKEION_TP3.5_SL1.75_H1,20,80,True,3.5,1.75,1,88,5,37,6.832998523840703,52.56742933539236,-3.1777864132525924,42.62864721485411,20,21,95.23809523809524,90.47619047619048,36.03507242309479,360350.7242309479,-3.316792997595319,31341.43096074759,31341.43096074759,314414309.6074759,6.832998523840703,7.385113327394113,-2.332107215145929,37,3,17,5.972453020681311,25.31481883199684,-3.1777864132525924,37.12706043956044,9,10,90.0,90.0,26.52088695485845,265208.8695485845,-3.316792997595319,734.9412395446137,734.9412395446137,8349412.3954461375,5.972453020681311,6.766737587059972,-3.0294387316101936,51,2,20,7.457315849662223,148.85793048137072,-2.147544556223735,67.00629496402877,11,11,100.0,90.9090909090909,44.68433193967329,446843.3193967329,2.0602169821578364,3665.7058331309777,3665.7058331309777,37657058.33130978,7.457315849662223,7.814190371707598,-1.2861099404495313,159.99990450284054,159.90466640760243,160.11739184513146,159.90466640760243,60,8,20,7.42169138923239,17.953128523414776,-15.873005101034645,44.36234817813765,9,13,69.23076923076923,69.23076923076923,45.57676075006834,455767.60750068334,-5.107889368031704,6676.952791158115,6676.952791158115,67769527.91158114,7.42169138923239,9.068617484058755,-3.283328227138993,5.907553770504109,True,59,11,19,4.698556965470528,10.141213495842596,-14.349417791072982,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.615048433065006,326150.48433065007,-8.638874910678396,1315.6320192468354,1315.6320192468354,14156320.192468353,4.698556965470528,6.407097670261567,-2.75689338270856,0.5648716591437672,False,True,1,1
UP30_SCORE80_NIKKEION_TP3.5_SL1.75_H1,30,80,True,3.5,1.75,1,88,5,37,6.832998523840703,52.56742933539236,-3.1777864132525924,42.62864721485411,20,21,95.23809523809524,90.47619047619048,36.03507242309479,360350.7242309479,-3.316792997595319,31341.43096074759,31341.43096074759,314414309.6074759,6.832998523840703,7.385113327394113,-2.332107215145929,37,3,17,5.972453020681311,25.31481883199684,-3.1777864132525924,37.12706043956044,9,10,90.0,90.0,26.52088695485845,265208.8695485845,-3.316792997595319,734.9412395446137,734.9412395446137,8349412.3954461375,5.972453020681311,6.766737587059972,-3.0294387316101936,51,2,20,7.457315849662223,148.85793048137072,-2.147544556223735,67.00629496402877,11,11,100.0,90.9090909090909,44.68433193967329,446843.3193967329,2.0602169821578364,3665.7058331309777,3665.7058331309777,37657058.33130978,7.457315849662223,7.814190371707598,-1.2861099404495313,159.99990450284054,159.90466640760243,160.11739184513146,159.90466640760243,60,8,20,7.42169138923239,17.953128523414776,-15.873005101034645,44.36234817813765,9,13,69.23076923076923,69.23076923076923,45.57676075006834,455767.60750068334,-5.107889368031704,6676.952791158115,6676.952791158115,67769527.91158114,7.42169138923239,9.068617484058755,-3.283328227138993,5.907553770504109,True,59,11,19,4.698556965470528,10.141213495842596,-14.349417791072982,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.615048433065006,326150.48433065007,-8.638874910678396,1315.6320192468354,1315.6320192468354,14156320.192468353,4.698556965470528,6.407097670261567,-2.75689338270856,0.5648716591437672,False,True,1,1
UP20_SCORE80_NIKKEION_TP3.5_SL2.0_H3,20,80,True,3.5,2.0,3,88,9,23,7.382873464248607,20.1038327257262,-10.845407012316278,42.62864721485411,20,21,95.23809523809524,95.23809523809524,39.60790635507748,396079.0635507748,-3.7595178381712,47676.80769420815,47676.80769420815,477768076.9420815,7.382873464248607,8.654447768756077,-3.778723208650328,37,5,11,5.976146972140819,17.501852347208775,-3.6020721436288428,37.12706043956044,9,10,90.0,90.0,26.247722372831884,262477.2237283189,-3.7595178381712,727.0128960685604,727.0128960685604,8270128.960685603,5.976146972140819,7.328655954237472,-2.679910513277759,51,4,12,8.403439742836609,21.79559102399879,-10.845407012316278,67.00629496402877,11,11,100.0,100.0,51.75352815711892,517535.2815711892,6.849693686560476,5677.032972681406,5677.032972681406,57770329.72681406,8.403439742836609,9.5571145360879,-5.152239077866039,160.72225683724955,159.89193783569112,161.6746377896305,159.89193783569112,60,7,11,8.168559783669872,18.063401542481976,-17.83013986888342,44.36234817813765,9,13,69.23076923076923,69.23076923076923,52.57920668739399,525792.0668739398,-5.782647747412595,10090.826509282842,10090.826509282842,101908265.09282842,8.168559783669872,9.789371230042738,-4.10329831029611,6.291700243482261,True,59,14,13,4.231762524059693,6.074684793656395,-21.50357241720148,64.90888554216868,9,11,81.81818181818183,63.63636363636363,28.76529667139442,287652.9667139442,-9.756566158588353,967.2465788562948,967.2465788562948,10672465.788562948,4.231762524059693,6.641641995870662,-3.5142786353327047,0.3362979436276049,False,True,1,1
UP20_SCORE80_NIKKEION_TP3.5_SL2.0_H1,20,80,True,3.5,2.0,1,88,5,35,6.980423660274508,50.0341245120698,-3.6020721436288428,42.62864721485411,20,21,95.23809523809524,90.47619047619048,37.48796816272838,374879.68162728375,-3.7595178381712,35458.453897369305,35458.453897369305,355584538.973693,6.980423660274508,7.551865406636607,-2.5055093293363546,37,3,16,6.0706136919130405,23.56206269118108,-3.6020721436288428,37.12706043956044,9,10,90.0,90.0,27.28185067986017,272818.50679860177,-3.7595178381712,764.2027111920021,764.2027111920021,8642027.11192002,6.0706136919130405,6.899059804898976,-3.318442255260904,51,2,19,7.64048187261518,152.48960568922104,-2.147544556223746,67.00629496402877,11,11,100.0,90.9090909090909,46.766256783517655,467662.5678351765,2.0602169821578364,4014.5964293867146,4014.5964293867146,41145964.29386715,7.64048187261518,8.004832558862716,-1.2861099404495313,159.98717593092923,159.89193783569112,160.11739184513146,159.89193783569112,60,8,20,7.375475565413711,16.2388087694992,-17.83013986888341,44.36234817813765,9,13,69.23076923076923,69.23076923076923,45.326609015627234,453266.09015627234,-5.782647747412595,6482.962335146989,6482.962335146989,65829623.35146989,7.375475565413711,9.068617484058755,-3.629946905779087,5.765307314038012,True,59,11,19,4.638513109127594,9.080457133518332,-16.136072687243306,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.29119006922192,322911.90069221915,-9.756566158588353,1264.258882869419,1264.258882869419,13642588.82869419,4.638513109127594,6.407097670261567,-3.0789467940024777,0.5591824660546435,False,True,1,1
UP25_SCORE80_NIKKEION_TP3.5_SL2.0_H1,25,80,True,3.5,2.0,1,88,5,35,6.980423660274508,50.0341245120698,-3.6020721436288428,42.62864721485411,20,21,95.23809523809524,90.47619047619048,37.48796816272838,374879.68162728375,-3.7595178381712,35458.453897369305,35458.453897369305,355584538.973693,6.980423660274508,7.551865406636607,-2.5055093293363546,37,3,16,6.0706136919130405,23.56206269118108,-3.6020721436288428,37.12706043956044,9,10,90.0,90.0,27.28185067986017,272818.50679860177,-3.7595178381712,764.2027111920021,764.2027111920021,8642027.11192002,6.0706136919130405,6.899059804898976,-3.318442255260904,51,2,19,7.64048187261518,152.48960568922104,-2.147544556223746,67.00629496402877,11,11,100.0,90.9090909090909,46.766256783517655,467662.5678351765,2.0602169821578364,4014.5964293867146,4014.5964293867146,41145964.29386715,7.64048187261518,8.004832558862716,-1.2861099404495313,159.98717593092923,159.89193783569112,160.11739184513146,159.89193783569112,60,8,20,7.375475565413711,16.2388087694992,-17.83013986888341,44.36234817813765,9,13,69.23076923076923,69.23076923076923,45.326609015627234,453266.09015627234,-5.782647747412595,6482.962335146989,6482.962335146989,65829623.35146989,7.375475565413711,9.068617484058755,-3.629946905779087,5.765307314038012,True,59,11,19,4.638513109127594,9.080457133518332,-16.136072687243306,64.90888554216868,9,11,81.81818181818183,63.63636363636363,32.29119006922192,322911.90069221915,-9.756566158588353,1264.258882869419,1264.258882869419,13642588.82869419,4.638513109127594,6.407097670261567,-3.0789467940024777,0.5591824660546435,False,True,1,1
UP30_SCORE80_NIKKEION_TP3.5_SL2.0_H3,30,80,True,3.5,2.0,3,88,9,23,7.382873464248607,20.1038327257262,-10.845407012316278,42.62864721485411,20,21,95.23809523809524,95.23809523809524,39.60790635507748,396079.0635507748,-3.7595178381712,47676.80769420815,47676.80769420815,477768076.9420815,7.382873464248607,8.654447768756077,-3.778723208650328,37,5,11,5.976146972140819,17.501852347208775,-3.6020721436288428,37.12706043956044,9,10,90.0,90.0,26.247722372831884,262477.2237283189,-3.7595178381712,727.0128960685604,727.0128960685604,8270128.960685603,5.976146972140819,7.328655954237472,-2.679910513277759,51,4,12,8.403439742836609,21.79559102399879,-10.845407012316278,67.00629496402877,11,11,100.0,100.0,51.75352815711892,517535.2815711892,6.849693686560476,5677.032972681406,5677.032972681406,57770329.72681406,8.403439742836609,9.5571145360879,-5.152239077866039,160.72225683724955,159.89193783569112,161.6746377896305,159.89193783569112,60,7,11,8.168559783669872,18.063401542481976,-17.83013986888342,44.36234817813765,9,13,69.23076923076923,69.23076923076923,52.57920668739399,525792.0668739398,-5.782647747412595,10090.826509282842,10090.826509282842,101908265.09282842,8.168559783669872,9.789371230042738,-4.10329831029611,6.291700243482261,True,59,14,13,4.231762524059693,6.074684793656395,-21.50357241720148,64.90888554216868,9,11,81.81818181818183,63.63636363636363,28.76529667139442,287652.9667139442,-9.756566158588353,967.2465788562948,967.2465788562948,10672465.788562948,4.231762524059693,6.641641995870662,-3.5142786353327047,0.3362979436276049,False,True,1,1
