strategy,folds_seen,positive_oos_folds,oos_signals_total,oos_pf_mean,oos_pf_min,oos_avg_return_mean,oos_monthly_positive_ratio_mean,oos_worst_dd,oos_compound_return,gates_passed,gates_total,failure_reasons
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H1,3,3,380,7.441099627237478,4.936204264034728,4.729243060088219,91.66666666666667,-5.610624981413325,14.785326606410942,5,6,fold数不足(3/4)
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H1,3,3,380,10.574662297413502,5.442358893170659,4.479608448981849,91.66666666666667,-2.813217980377003,13.985749027647664,5,6,fold数不足(3/4)
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H3,2,2,197,68.96343645125386,9.535382100532496,6.346162325225509,100.0,-4.701050349510705,13.088437712574773,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H3,2,2,197,120.56169270572279,15.349217276585508,6.035127350445331,100.0,-2.027863805044628,12.432782309277668,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H5,2,2,197,91.42411540177783,12.191851635064287,5.940769863758767,100.0,-2.027863805044628,12.23224836327792,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H3,2,2,197,86.24197767194312,12.81812859767011,5.343518570518895,100.0,-2.851436011873953,10.971673027289452,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H5,2,2,197,80.58567482999588,11.630263279767496,5.303759637041242,100.0,-2.1520842616148617,10.887856653721585,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H5,2,2,197,68.65382295766304,10.798023340103857,5.301912827967433,100.0,-2.8514360118739424,10.883998128065775,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H3,2,2,197,72.28809282754267,10.792311444789409,5.300019616944784,100.0,-3.550787762133023,10.879812657609289,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H5,2,2,197,59.62060339876988,9.615508057240026,5.26711333712668,100.0,-3.550787762133023,10.810543070564815,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H1,2,2,197,14.010740624005267,14.010740624005267,5.239700703018907,100.0,-3.512569730636084,10.751919775189943,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H1,2,2,197,11.769522556451612,11.769522556451612,5.204650633487589,100.0,-4.211921480895164,10.677831049475284,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H5,2,2,197,46.967994194913445,7.406635568280427,5.174833787395475,100.0,-4.949491262651184,10.615763709034166,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H1,2,2,197,10.146452556052209,10.146452556052209,5.169600563956269,100.0,-4.9112732311542455,10.603742323760624,4,6,fold数不足(2/4) / 陽性fold数不足(2/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H5,1,1,86,110.29209556638295,110.29209556638295,7.138329333973577,100.0,0.0,7.138329333973581,4,6,fold数不足(1/4) / 陽性fold数不足(1/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H3,1,1,86,197.9641562414488,197.9641562414488,5.649734971235657,100.0,0.0,5.649734971235665,4,6,fold数不足(1/4) / 陽性fold数不足(1/4、必要3)
UP45_SCORE50_NIKKEION_TP3.0_SL1.75_H3,1,1,108,9.151900088748752,9.151900088748752,4.843130491096419,100.0,-4.250139512392104,4.843130491096415,4,6,fold数不足(1/4) / 陽性fold数不足(1/4、必要3)
UP45_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H3,1,1,111,8.440898586613677,8.440898586613677,4.822846130705532,100.0,-4.949491262651174,4.822846130705538,4,6,fold数不足(1/4) / 陽性fold数不足(1/4、必要3)
UP45_SCORE50_NIKKEION_TP3.0_SL1.0_H1,1,1,108,14.344253447370267,14.344253447370267,4.812355349748668,100.0,-2.813217980377003,4.812355349748665,4,6,fold数不足(1/4) / 陽性fold数不足(1/4、必要3)
UP45_SCORE50_NIKKEION_TP3.0_SL1.75_H5,1,1,108,8.07209012329895,8.07209012329895,4.78348658162832,100.0,-4.250139512392104,4.783486581628327,4,6,fold数不足(1/4) / 陽性fold数不足(1/4、必要3)
