strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass
UP35_SCORE80_NIKKEION_TP4.0_SL1.0_H1,35,80,True,4.0,1.0,1,126,9,47,8.173389099391274,53.593074915682166,-4.271741446625765,32.34118060435699,31,49,63.26530612244898,59.183673469387756,27.64235243716044,276423.5243716044,-2.58049650375779,1738756.41788337,1738756.41788337,17388564178.833702,8.173389099391274,8.969473891752823,-2.175713201308903,55,2,20,7.565218172764492,210.83195656385988,-0.028334093426274354,28.174964936886397,16,25,64.0,60.0,20.73226372328315,207322.6372328315,-1.9546193437705806,5241.289325588766,5241.289325588766,53412893.25588766,7.565218172764492,7.888112319608376,-0.9914767185984275,71,7,27,8.644507422834554,35.87576978772713,-4.271741446625765,36.57651622002821,16,25,64.0,60.0,32.52510189429353,325251.0189429353,-2.58049650375779,32454.99397033125,32454.99397033125,325549939.70331246,8.644507422834554,9.864976443684945,-2.5140664820833245,153.7085824504788,153.99914997719722,153.87184775660123,153.87184775660123,116,29,59,3.498231212229648,6.913887038926179,-25.5894234676987,49.15197215777262,18,31,58.06451612903226,41.935483870967744,16.617424350705498,166174.24350705498,-13.249831780813015,4709.33427595716,4709.33427595716,48093342.7595716,3.498231212229648,5.4530126076026075,-2.36611297388923,0.46355912394804966,True,81,35,44,1.104902765301924,2.0454272458338814,-25.98641639505601,83.57415254237287,6,13,46.15384615384615,30.76923076923077,7.716293171437372,77162.93171437373,-10.606825998021563,127.83620806406488,127.83620806406488,2278362.080640649,1.104902765301924,3.8066370463932633,-2.4459480041324086,0.2958433127874135,False,False
UP35_SCORE80_NIKKEION_TP4.0_SL1.25_H1,35,80,True,4.0,1.25,1,126,9,48,8.087333131023373,50.97238056751782,-4.894810173949981,32.34118060435699,31,49,63.26530612244898,59.183673469387756,27.361917860527274,273619.1786052727,-3.1815114338523243,1567515.5019228836,1567515.5019228836,15676155019.228836,8.087333131023373,8.88372066620333,-2.2657048263160444,55,2,21,7.3745621174523315,167.50905327811844,-0.028334093426274354,28.174964936886397,16,25,64.0,60.0,20.195194017859215,201951.94017859217,-2.4075749966482873,4733.0974977772885,4733.0974977772885,48330974.977772884,7.3745621174523315,7.6988080292443914,-1.2179545450372808,71,7,27,8.639479690831926,35.16252963880081,-4.894810173949981,36.57651622002821,16,25,64.0,60.0,32.512519829516464,325125.1982951646,-3.1815114338523243,32335.00679727278,32335.00679727278,324350067.9727278,8.639479690831926,9.864976443684945,-2.565062049538548,153.68989038865905,153.99914997719722,153.8531556947815,153.8531556947815,116,29,59,3.4120330622091966,6.034528823091574,-28.204106400375018,49.15197215777262,18,31,58.06451612903226,41.935483870967744,16.319023851871407,163190.23851871406,-16.58607778206419,4236.850971142782,4236.850971142782,43368509.71142782,3.4120330622091966,5.4530126076026075,-2.710905573971036,0.26511250325861513,True,81,34,45,1.1210665227601695,2.0702712466001545,-22.910996559329778,83.57415254237287,6,13,46.15384615384615,30.76923076923077,7.722281551811192,77222.81551811192,-11.155710246697414,130.45058739115748,130.45058739115748,2304505.873911575,1.1210665227601695,3.7372481636501673,-2.495419863176004,0.34307090201940993,False,False
UP25_SCORE80_NIKKEION_TP3.5_SL1.0_H1,25,80,True,3.5,1.0,1,198,22,75,7.038509526037839,29.57760526507495,-6.334308529736454,50.821855235418134,33,49,67.3469387755102,65.3061224489796,39.45283594278063,394528.3594278063,-6.334308529736477,57697729.21479202,57697729.21479202,576978292147.9203,7.038509526037839,8.195404628735428,-2.2166512955428503,97,9,42,6.685729205610821,38.694849778614916,-5.503612934157687,49.69039270687237,18,25,72.0,72.0,34.866983087087846,348669.8308708785,-1.9546193437705806,49245.031115499885,49245.031115499885,493450311.1549989,6.685729205610821,7.565001046298761,-1.9115954588934803,101,13,33,7.377318348626166,24.60781560971256,-6.334308529736465,52.031382228490834,16,25,64.0,60.0,41.15972669660542,411597.26696605416,-6.334308529736477,116827.33373648311,116827.33373648311,1169273337.3648312,7.377318348626166,8.825808211172095,-2.427843797838567,154.87119523390382,156.23489161197529,153.80997074410791,153.80997074410791,151,38,74,3.2961948820924145,6.323590891561755,-23.55718607947429,63.39396551724138,19,31,61.29032258064516,48.38709677419355,20.743916557153184,207439.16557153183,-13.249831780813015,11444.721419435456,11444.721419435456,115447214.19435456,3.2961948820924145,5.232033022772261,-2.4603764309818654,0.817443633722731,True,88,36,50,1.1409151524389083,2.0690844178996812,-21.526597212973353,90.79661016949152,7,13,53.84615384615385,38.46153846153847,8.376367527561314,83763.67527561313,-10.606825998021563,152.8071011763903,152.8071011763903,2528071.011763903,1.1409151524389083,3.736791676756852,-2.6086842715759,0.32720086630852135,False,False
UP30_SCORE80_NIKKEION_TP4.0_SL1.0_H1,30,80,True,4.0,1.0,1,198,22,89,7.513040524222161,31.504285836009306,-6.334308529736465,50.821855235418134,33,49,67.3469387755102,65.3061224489796,42.66583944939865,426658.3944939865,-6.334308529736477,133735246.78406191,133735246.78406191,1337353467840.6191,7.513040524222161,8.729252001692787,-2.2166512955428503,97,9,47,7.178603106357481,41.47372506313191,-5.503612934157709,49.69039270687237,18,25,72.0,72.0,37.80446692612386,378044.6692612386,-1.9546193437705806,76581.74058994245,76581.74058994245,766817405.8994244,7.178603106357481,8.10828250507633,-1.9115954588934803,101,13,42,7.8342328958347744,26.06996674243477,-6.334308529736477,52.031382228490834,16,25,64.0,60.0,45.29471368752995,452947.1368752995,-6.334308529736477,174303.1183371475,174303.1183371475,1744031183.371475,7.8342328958347744,9.350221498309246,-2.427843797838567,154.87119523390382,156.23489161197529,153.80997074410791,153.80997074410791,151,38,80,3.533434618026801,6.706750062215853,-23.557186079474313,63.39396551724138,19,31,61.29032258064516,48.38709677419355,22.492899100717914,224928.99100717914,-13.249831780813015,15879.078267796183,15879.078267796183,159790782.67796183,3.533434618026801,5.5490524929146705,-2.4603764309818654,0.9372579673066188,True,88,35,51,1.2714158756208518,2.1920613242256577,-21.526597212973353,90.79661016949152,7,13,53.84615384615385,38.46153846153847,9.478933985049409,94789.33985049409,-10.606825998021563,181.5645425507975,181.5645425507975,2815645.425507975,1.2714158756208518,3.881937459940035,-2.681659666348198,0.3268440457584935,False,False
UP20_SCORE80_NIKKEION_TP3.5_SL1.0_H1,20,80,True,3.5,1.0,1,198,22,75,7.038509526037839,29.57760526507495,-6.334308529736454,50.821855235418134,33,49,67.3469387755102,65.3061224489796,39.45283594278063,394528.3594278063,-6.334308529736477,57697729.21479202,57697729.21479202,576978292147.9203,7.038509526037839,8.195404628735428,-2.2166512955428503,97,9,42,6.685729205610821,38.694849778614916,-5.503612934157687,49.69039270687237,18,25,72.0,72.0,34.866983087087846,348669.8308708785,-1.9546193437705806,49245.031115499885,49245.031115499885,493450311.1549989,6.685729205610821,7.565001046298761,-1.9115954588934803,101,13,33,7.377318348626166,24.60781560971256,-6.334308529736465,52.031382228490834,16,25,64.0,60.0,41.15972669660542,411597.26696605416,-6.334308529736477,116827.33373648311,116827.33373648311,1169273337.3648312,7.377318348626166,8.825808211172095,-2.427843797838567,154.87119523390382,156.23489161197529,153.80997074410791,153.80997074410791,151,38,74,3.2961948820924145,6.323590891561755,-23.55718607947429,63.39396551724138,19,31,61.29032258064516,48.38709677419355,20.743916557153184,207439.16557153183,-13.249831780813015,11444.721419435456,11444.721419435456,115447214.19435456,3.2961948820924145,5.232033022772261,-2.4603764309818654,0.817443633722731,True,88,36,50,1.1409151524389083,2.0690844178996812,-21.526597212973353,90.79661016949152,7,13,53.84615384615385,38.46153846153847,8.376367527561314,83763.67527561313,-10.606825998021563,152.8071011763903,152.8071011763903,2528071.011763903,1.1409151524389083,3.736791676756852,-2.6086842715759,0.32720086630852135,False,False
UP20_SCORE80_NIKKEION_TP4.0_SL1.0_H1,20,80,True,4.0,1.0,1,198,22,89,7.513040524222161,31.504285836009306,-6.334308529736465,50.821855235418134,33,49,67.3469387755102,65.3061224489796,42.66583944939865,426658.3944939865,-6.334308529736477,133735246.78406191,133735246.78406191,1337353467840.6191,7.513040524222161,8.729252001692787,-2.2166512955428503,97,9,47,7.178603106357481,41.47372506313191,-5.503612934157709,49.69039270687237,18,25,72.0,72.0,37.80446692612386,378044.6692612386,-1.9546193437705806,76581.74058994245,76581.74058994245,766817405.8994244,7.178603106357481,8.10828250507633,-1.9115954588934803,101,13,42,7.8342328958347744,26.06996674243477,-6.334308529736477,52.031382228490834,16,25,64.0,60.0,45.29471368752995,452947.1368752995,-6.334308529736477,174303.1183371475,174303.1183371475,1744031183.371475,7.8342328958347744,9.350221498309246,-2.427843797838567,154.87119523390382,156.23489161197529,153.80997074410791,153.80997074410791,151,38,80,3.533434618026801,6.706750062215853,-23.557186079474313,63.39396551724138,19,31,61.29032258064516,48.38709677419355,22.492899100717914,224928.99100717914,-13.249831780813015,15879.078267796183,15879.078267796183,159790782.67796183,3.533434618026801,5.5490524929146705,-2.4603764309818654,0.9372579673066188,True,88,35,51,1.2714158756208518,2.1920613242256577,-21.526597212973353,90.79661016949152,7,13,53.84615384615385,38.46153846153847,9.478933985049409,94789.33985049409,-10.606825998021563,181.5645425507975,181.5645425507975,2815645.425507975,1.2714158756208518,3.881937459940035,-2.681659666348198,0.3268440457584935,False,False
UP25_SCORE80_NIKKEION_TP4.0_SL1.0_H1,25,80,True,4.0,1.0,1,198,22,89,7.513040524222161,31.504285836009306,-6.334308529736465,50.821855235418134,33,49,67.3469387755102,65.3061224489796,42.66583944939865,426658.3944939865,-6.334308529736477,133735246.78406191,133735246.78406191,1337353467840.6191,7.513040524222161,8.729252001692787,-2.2166512955428503,97,9,47,7.178603106357481,41.47372506313191,-5.503612934157709,49.69039270687237,18,25,72.0,72.0,37.80446692612386,378044.6692612386,-1.9546193437705806,76581.74058994245,76581.74058994245,766817405.8994244,7.178603106357481,8.10828250507633,-1.9115954588934803,101,13,42,7.8342328958347744,26.06996674243477,-6.334308529736477,52.031382228490834,16,25,64.0,60.0,45.29471368752995,452947.1368752995,-6.334308529736477,174303.1183371475,174303.1183371475,1744031183.371475,7.8342328958347744,9.350221498309246,-2.427843797838567,154.87119523390382,156.23489161197529,153.80997074410791,153.80997074410791,151,38,80,3.533434618026801,6.706750062215853,-23.557186079474313,63.39396551724138,19,31,61.29032258064516,48.38709677419355,22.492899100717914,224928.99100717914,-13.249831780813015,15879.078267796183,15879.078267796183,159790782.67796183,3.533434618026801,5.5490524929146705,-2.4603764309818654,0.9372579673066188,True,88,35,51,1.2714158756208518,2.1920613242256577,-21.526597212973353,90.79661016949152,7,13,53.84615384615385,38.46153846153847,9.478933985049409,94789.33985049409,-10.606825998021563,181.5645425507975,181.5645425507975,2815645.425507975,1.2714158756208518,3.881937459940035,-2.681659666348198,0.3268440457584935,False,False
UP30_SCORE80_NIKKEION_TP3.5_SL1.0_H1,30,80,True,3.5,1.0,1,198,22,75,7.038509526037839,29.57760526507495,-6.334308529736454,50.821855235418134,33,49,67.3469387755102,65.3061224489796,39.45283594278063,394528.3594278063,-6.334308529736477,57697729.21479202,57697729.21479202,576978292147.9203,7.038509526037839,8.195404628735428,-2.2166512955428503,97,9,42,6.685729205610821,38.694849778614916,-5.503612934157687,49.69039270687237,18,25,72.0,72.0,34.866983087087846,348669.8308708785,-1.9546193437705806,49245.031115499885,49245.031115499885,493450311.1549989,6.685729205610821,7.565001046298761,-1.9115954588934803,101,13,33,7.377318348626166,24.60781560971256,-6.334308529736465,52.031382228490834,16,25,64.0,60.0,41.15972669660542,411597.26696605416,-6.334308529736477,116827.33373648311,116827.33373648311,1169273337.3648312,7.377318348626166,8.825808211172095,-2.427843797838567,154.87119523390382,156.23489161197529,153.80997074410791,153.80997074410791,151,38,74,3.2961948820924145,6.323590891561755,-23.55718607947429,63.39396551724138,19,31,61.29032258064516,48.38709677419355,20.743916557153184,207439.16557153183,-13.249831780813015,11444.721419435456,11444.721419435456,115447214.19435456,3.2961948820924145,5.232033022772261,-2.4603764309818654,0.817443633722731,True,88,36,50,1.1409151524389083,2.0690844178996812,-21.526597212973353,90.79661016949152,7,13,53.84615384615385,38.46153846153847,8.376367527561314,83763.67527561313,-10.606825998021563,152.8071011763903,152.8071011763903,2528071.011763903,1.1409151524389083,3.736791676756852,-2.6086842715759,0.32720086630852135,False,False
UP30_SCORE80_NIKKEION_TP3.5_SL1.25_H1,30,80,True,3.5,1.25,1,198,22,75,7.0059918577954585,26.77634282164831,-7.546026291681473,50.821855235418134,33,49,67.3469387755102,65.3061224489796,39.29839244851657,392983.9244851657,-7.546026291681485,54065644.35652031,54065644.35652031,540657443565.2031,7.0059918577954585,8.1875150491292,-2.4461936728744615,97,9,42,6.654061668341991,35.172996437138046,-6.747624745335545,49.69039270687237,18,25,72.0,72.0,34.6760568809565,346760.568809565,-2.4075749966482873,47770.40660859621,47770.40660859621,478704066.0859621,6.654061668341991,7.549221887086304,-2.0986160260468334,101,13,33,7.343984217963639,22.23589066185541,-7.546026291681462,52.031382228490834,16,25,64.0,60.0,41.0479436539792,410479.43653979205,-7.546026291681485,112841.89497611583,112841.89497611583,1129418949.7611582,7.343984217963639,8.825808211172095,-2.686824351447434,154.83484370104546,156.19757125763994,153.77361921124955,153.77361921124955,151,36,76,3.3262129900361965,6.449284913241286,-27.582537821660036,63.39396551724138,20,31,64.51612903225806,51.61290322580645,20.957883340525687,209578.83340525685,-16.58607778206419,11969.119474362524,11969.119474362524,120691194.74362524,3.3262129900361965,5.168936658753189,-2.5602653961430897,0.8028663471968113,True,88,36,50,1.0085370528662194,1.928503782759787,-22.345667667345005,90.79661016949152,7,13,53.84615384615385,38.46153846153847,7.340975235574894,73409.75235574893,-15.581783932563887,125.55048926659094,125.55048926659094,2255504.892665909,1.0085370528662194,3.5449327822336083,-2.6551456673311193,0.299025986400492,False,False
UP25_SCORE80_NIKKEION_TP4.0_SL1.25_H1,25,80,True,4.0,1.25,1,198,22,89,7.491450455110129,28.562434995902837,-7.546026291681473,50.821855235418134,33,49,67.3469387755102,65.3061224489796,42.999923988524074,429999.23988524074,-7.546026291681485,127777887.93884157,127777887.93884157,1277779879388.4158,7.491450455110129,8.733655971108202,-2.4461936728744615,97,9,48,7.057816379618601,37.24654324172774,-6.7476247453355125,49.69039270687237,18,25,72.0,72.0,37.17047369244528,371704.73692445277,-2.4075749966482873,68407.46813533855,68407.46813533855,685074681.3533856,7.057816379618601,7.994269693834386,-2.0986160260468334,101,13,41,7.907910903849517,23.866543055345378,-7.546026291681473,52.031382228490834,16,25,64.0,60.0,45.639888378650674,456398.8837865067,-7.546026291681485,186416.8738777681,186416.8738777681,1865168738.777681,7.907910903849517,9.47304224838202,-2.686824351447434,154.83484370104546,156.19757125763994,153.77361921124955,153.77361921124955,151,36,82,3.563452725970583,6.837951218652634,-27.582537821660058,63.39396551724138,20,31,64.51612903225806,51.61290322580645,22.710203169718312,227102.03169718315,-16.58607778206419,16604.89894884381,16604.89894884381,167048989.48843807,3.563452725970583,5.480442746806166,-2.5602653961430897,0.929765081454555,True,88,34,52,1.301760629811838,2.24878504647109,-19.28026379723704,90.79661016949152,7,13,53.84615384615385,38.46153846153847,9.597386741171317,95973.86741171317,-11.155710246697414,188.8397202548743,188.8397202548743,2888397.2025487428,1.301760629811838,3.8201489802646225,-2.6980326326719966,0.3288682493576191,False,False
