strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass
UP25_SCORE70_NIKKEIOFF_TP4.0_SL1.0_H1,25,70,False,4.0,1.0,1,361,83,163,6.105069700893625,10.512691900296323,-22.731325562749273,103.09245504300235,38,44,86.36363636363636,84.0909090909091,84.69111385633835,846911.1385633835,-19.914776975006376,100620952064.52003,100620952064.52003,1006209521645200.4,6.105069700893625,8.761198864879692,-2.7913629206500694,178,43,85,5.105194966674943,8.726176605279768,-17.014217225776605,112.09396551724139,18,21,85.71428571428571,80.95238095238095,63.44199343868269,634419.9343868269,-2.8895315535608534,556163.3810137921,556163.3810137921,5562633810.137921,5.105194966674943,7.6025263382229396,-2.7352639905106324,184,41,78,7.027077591065207,12.118607018846458,-22.731325562749262,96.14592274678112,20,24,83.33333333333334,83.33333333333334,99.65279735578999,996527.9735578999,-19.914776975006376,17686479.672920577,17686479.672920577,176865796729.20575,7.027077591065207,9.85505055088432,-2.8363402931819377,158.13624205129935,157.6800496737029,157.9847268997842,157.6800496737029,245,69,120,4.055477409515314,6.785500266777477,-24.091751167474673,110.34062885326757,22,28,78.57142857142857,75.0,48.29902293226116,482990.2293226116,-11.156444284423328,1234623.1914921599,1234623.1914921599,12347231914.921598,4.055477409515314,6.621194674518682,-2.4889608316526997,2.4136587214714997,True,176,72,102,1.042193964213599,1.877310998144138,-38.99449565035216,108.40472175379428,13,20,65.0,45.0,10.485863686286143,104858.63686286141,-24.79709081278211,427.1812763597118,427.1812763597118,5271812.763597118,1.042193964213599,3.7740750559065783,-2.9038565015651483,0.27666508353638275,False,False
UP20_SCORE70_NIKKEIOFF_TP4.0_SL1.0_H1,20,70,False,4.0,1.0,1,361,83,163,6.105069700893625,10.512691900296323,-22.731325562749273,103.09245504300235,38,44,86.36363636363636,84.0909090909091,84.69111385633835,846911.1385633835,-19.914776975006376,100620952064.52003,100620952064.52003,1006209521645200.4,6.105069700893625,8.761198864879692,-2.7913629206500694,178,43,85,5.105194966674943,8.726176605279768,-17.014217225776605,112.09396551724139,18,21,85.71428571428571,80.95238095238095,63.44199343868269,634419.9343868269,-2.8895315535608534,556163.3810137921,556163.3810137921,5562633810.137921,5.105194966674943,7.6025263382229396,-2.7352639905106324,184,41,78,7.027077591065207,12.118607018846458,-22.731325562749262,96.14592274678112,20,24,83.33333333333334,83.33333333333334,99.65279735578999,996527.9735578999,-19.914776975006376,17686479.672920577,17686479.672920577,176865796729.20575,7.027077591065207,9.85505055088432,-2.8363402931819377,158.13624205129935,157.6800496737029,157.9847268997842,157.6800496737029,245,69,120,4.055477409515314,6.785500266777477,-24.091751167474673,110.34062885326757,22,28,78.57142857142857,75.0,48.29902293226116,482990.2293226116,-11.156444284423328,1234623.1914921599,1234623.1914921599,12347231914.921598,4.055477409515314,6.621194674518682,-2.4889608316526997,2.4136587214714997,True,176,72,102,1.042193964213599,1.877310998144138,-38.99449565035216,108.40472175379428,13,20,65.0,45.0,10.485863686286143,104858.63686286141,-24.79709081278211,427.1812763597118,427.1812763597118,5271812.763597118,1.042193964213599,3.7740750559065783,-2.9038565015651483,0.27666508353638275,False,False
UP30_SCORE70_NIKKEIOFF_TP4.0_SL1.0_H1,30,70,False,4.0,1.0,1,361,83,163,6.105069700893625,10.512691900296323,-22.731325562749273,103.09245504300235,38,44,86.36363636363636,84.0909090909091,84.69111385633835,846911.1385633835,-19.914776975006376,100620952064.52003,100620952064.52003,1006209521645200.4,6.105069700893625,8.761198864879692,-2.7913629206500694,178,43,85,5.105194966674943,8.726176605279768,-17.014217225776605,112.09396551724139,18,21,85.71428571428571,80.95238095238095,63.44199343868269,634419.9343868269,-2.8895315535608534,556163.3810137921,556163.3810137921,5562633810.137921,5.105194966674943,7.6025263382229396,-2.7352639905106324,184,41,78,7.027077591065207,12.118607018846458,-22.731325562749262,96.14592274678112,20,24,83.33333333333334,83.33333333333334,99.65279735578999,996527.9735578999,-19.914776975006376,17686479.672920577,17686479.672920577,176865796729.20575,7.027077591065207,9.85505055088432,-2.8363402931819377,158.13624205129935,157.6800496737029,157.9847268997842,157.6800496737029,245,69,120,4.055477409515314,6.785500266777477,-24.091751167474673,110.34062885326757,22,28,78.57142857142857,75.0,48.29902293226116,482990.2293226116,-11.156444284423328,1234623.1914921599,1234623.1914921599,12347231914.921598,4.055477409515314,6.621194674518682,-2.4889608316526997,2.4136587214714997,True,176,72,102,1.0601715845287503,1.8926137022832255,-38.99449565035217,108.40472175379428,12,20,60.0,50.0,10.648852631850543,106488.52631850542,-24.79709081278211,443.5180108733567,443.5180108733567,5435180.1087335665,1.0601715845287503,3.804117466870776,-2.9033058010763972,0.2789202900115797,False,False
UP25_SCORE70_NIKKEIOFF_TP3.5_SL1.0_H1,25,70,False,3.5,1.0,1,361,84,135,5.657259947293121,9.869075794167024,-22.731325562749273,103.09245504300235,38,44,86.36363636363636,81.81818181818183,74.6608062730079,746608.062730079,-20.682196108938843,24306462250.72299,24306462250.72299,243064623507229.9,5.657259947293121,8.204113983413595,-2.7412944337232017,178,43,70,4.8383292808250795,8.377288306120885,-17.01421722577663,112.09396551724139,18,21,85.71428571428571,80.95238095238095,58.65748733218641,586574.8733218642,-2.8895315535608534,363281.8492368164,363281.8492368164,3633818492.3681636,4.8383292808250795,7.244165463062412,-2.714877337827012,184,42,65,6.406657868410281,11.184041158010325,-22.731325562749248,96.14592274678112,20,24,83.33333333333334,79.16666666666666,85.46563257798455,854656.3257798456,-20.682196108938843,6540151.170950021,6540151.170950021,65402511709.500206,6.406657868410281,9.116741097831973,-2.756004478682103,157.6816965967539,157.43754359494054,157.15139356645088,157.15139356645088,245,70,109,3.6745844211610783,6.238805501531874,-24.091751167474694,110.34062885326757,22,28,78.57142857142857,75.0,42.57077602800486,425707.76028004853,-11.156444284423328,529317.6464071182,529317.6464071182,5294176464.071181,3.6745844211610783,6.126401236738298,-2.454957617781971,2.1880547691437586,True,176,71,103,1.098859174055532,1.973140605480937,-32.39472407968653,108.40472175379428,13,20,65.0,45.0,11.04845500218352,110484.5500218352,-24.79709081278211,487.44330279655827,487.44330279655827,5874433.027965583,1.098859174055532,3.734632280491265,-2.7991151382790025,0.3162689724814234,False,False
UP20_SCORE70_NIKKEIOFF_TP3.5_SL1.0_H1,20,70,False,3.5,1.0,1,361,84,135,5.657259947293121,9.869075794167024,-22.731325562749273,103.09245504300235,38,44,86.36363636363636,81.81818181818183,74.6608062730079,746608.062730079,-20.682196108938843,24306462250.72299,24306462250.72299,243064623507229.9,5.657259947293121,8.204113983413595,-2.7412944337232017,178,43,70,4.8383292808250795,8.377288306120885,-17.01421722577663,112.09396551724139,18,21,85.71428571428571,80.95238095238095,58.65748733218641,586574.8733218642,-2.8895315535608534,363281.8492368164,363281.8492368164,3633818492.3681636,4.8383292808250795,7.244165463062412,-2.714877337827012,184,42,65,6.406657868410281,11.184041158010325,-22.731325562749248,96.14592274678112,20,24,83.33333333333334,79.16666666666666,85.46563257798455,854656.3257798456,-20.682196108938843,6540151.170950021,6540151.170950021,65402511709.500206,6.406657868410281,9.116741097831973,-2.756004478682103,157.6816965967539,157.43754359494054,157.15139356645088,157.15139356645088,245,70,109,3.6745844211610783,6.238805501531874,-24.091751167474694,110.34062885326757,22,28,78.57142857142857,75.0,42.57077602800486,425707.76028004853,-11.156444284423328,529317.6464071182,529317.6464071182,5294176464.071181,3.6745844211610783,6.126401236738298,-2.454957617781971,2.1880547691437586,True,176,71,103,1.098859174055532,1.973140605480937,-32.39472407968653,108.40472175379428,13,20,65.0,45.0,11.04845500218352,110484.5500218352,-24.79709081278211,487.44330279655827,487.44330279655827,5874433.027965583,1.098859174055532,3.734632280491265,-2.7991151382790025,0.3162689724814234,False,False
UP30_SCORE70_NIKKEIOFF_TP3.5_SL1.0_H1,30,70,False,3.5,1.0,1,361,84,135,5.657259947293121,9.869075794167024,-22.731325562749273,103.09245504300235,38,44,86.36363636363636,81.81818181818183,74.6608062730079,746608.062730079,-20.682196108938843,24306462250.72299,24306462250.72299,243064623507229.9,5.657259947293121,8.204113983413595,-2.7412944337232017,178,43,70,4.8383292808250795,8.377288306120885,-17.01421722577663,112.09396551724139,18,21,85.71428571428571,80.95238095238095,58.65748733218641,586574.8733218642,-2.8895315535608534,363281.8492368164,363281.8492368164,3633818492.3681636,4.8383292808250795,7.244165463062412,-2.714877337827012,184,42,65,6.406657868410281,11.184041158010325,-22.731325562749248,96.14592274678112,20,24,83.33333333333334,79.16666666666666,85.46563257798455,854656.3257798456,-20.682196108938843,6540151.170950021,6540151.170950021,65402511709.500206,6.406657868410281,9.116741097831973,-2.756004478682103,157.6816965967539,157.43754359494054,157.15139356645088,157.15139356645088,245,70,109,3.6745844211610783,6.238805501531874,-24.091751167474694,110.34062885326757,22,28,78.57142857142857,75.0,42.57077602800486,425707.76028004853,-11.156444284423328,529317.6464071182,529317.6464071182,5294176464.071181,3.6745844211610783,6.126401236738298,-2.454957617781971,2.1880547691437586,True,176,71,103,1.1168367943706836,1.9892588064194046,-32.39472407968652,108.40472175379428,13,20,65.0,50.0,11.209161038674923,112091.61038674922,-24.79709081278211,505.6474874100066,505.6474874100066,6056474.874100066,1.1168367943706836,3.764388573255803,-2.798556681445339,0.3188525120603556,False,False
UP30_SCORE70_NIKKEIOFF_TP3.5_SL1.25_H1,30,70,False,3.5,1.25,1,361,83,137,5.514759740186836,8.361572681007502,-27.326445815752354,103.09245504300235,37,44,84.0909090909091,79.54545454545455,72.1176373462582,721176.3734625821,-25.1844975823047,14429916817.938683,14429916817.938683,144299169179386.8,5.514759740186836,8.134041189599547,-3.2582552349545293,178,43,70,4.706368642657887,6.974051703875972,-20.504724132499806,112.09396551724139,17,21,80.95238095238095,80.95238095238095,56.899743813202186,568997.4381320219,-3.7703947137209814,284518.2195771214,284518.2195771214,2846182195.7712135,4.706368642657887,7.244165463062412,-3.261133002798182,184,41,67,6.251927631084085,9.65276857841588,-27.326445815752354,96.14592274678112,20,24,83.33333333333334,79.16666666666666,82.31946661261651,823194.6661261651,-25.1844975823047,4930906.333339844,4930906.333339844,49310063333.39844,6.251927631084085,8.974133658708029,-3.242595831116493,157.08929753461834,157.13488743048802,157.01353995886078,157.01353995886078,245,70,109,3.530736206421204,5.491928386312597,-24.511004668850934,110.34062885326757,22,28,78.57142857142857,75.0,40.422809071518266,404228.09071518265,-13.593279038239059,373245.0407523375,373245.0407523375,3733450407.523375,3.530736206421204,6.043455776809795,-2.7510627195502755,2.0308994372388676,True,176,70,104,1.1403243854681995,2.004852623766908,-33.94719247033295,108.40472175379428,13,20,65.0,50.0,11.446485929449553,114464.85929449553,-28.91162452824855,522.3651674931808,522.3651674931808,6223651.674931808,1.1403243854681995,3.777594145195986,-2.8532555364053067,0.36505440033842296,False,False
UP25_SCORE70_NIKKEIOFF_TP3.5_SL1.25_H1,25,70,False,3.5,1.25,1,361,83,137,5.514759740186836,8.361572681007502,-27.326445815752354,103.09245504300235,37,44,84.0909090909091,79.54545454545455,72.1176373462582,721176.3734625821,-25.1844975823047,14429916817.938683,14429916817.938683,144299169179386.8,5.514759740186836,8.134041189599547,-3.2582552349545293,178,43,70,4.706368642657887,6.974051703875972,-20.504724132499806,112.09396551724139,17,21,80.95238095238095,80.95238095238095,56.899743813202186,568997.4381320219,-3.7703947137209814,284518.2195771214,284518.2195771214,2846182195.7712135,4.706368642657887,7.244165463062412,-3.261133002798182,184,41,67,6.251927631084085,9.65276857841588,-27.326445815752354,96.14592274678112,20,24,83.33333333333334,79.16666666666666,82.31946661261651,823194.6661261651,-25.1844975823047,4930906.333339844,4930906.333339844,49310063333.39844,6.251927631084085,8.974133658708029,-3.242595831116493,157.08929753461834,157.13488743048802,157.01353995886078,157.01353995886078,245,70,109,3.530736206421204,5.491928386312597,-24.511004668850934,110.34062885326757,22,28,78.57142857142857,75.0,40.422809071518266,404228.09071518265,-13.593279038239059,373245.0407523375,373245.0407523375,3733450407.523375,3.530736206421204,6.043455776809795,-2.7510627195502755,2.0308994372388676,True,176,70,104,1.1223467651530479,1.9888144623536927,-33.94719247033295,108.40472175379428,12,20,60.0,45.0,11.289128952159384,112891.28952159385,-28.91162452824855,503.6584929976323,503.6584929976323,6036584.929976323,1.1223467651530479,3.748118572174509,-2.853821971193737,0.3621340852350457,False,False
UP20_SCORE70_NIKKEIOFF_TP3.5_SL1.25_H1,20,70,False,3.5,1.25,1,361,83,137,5.514759740186836,8.361572681007502,-27.326445815752354,103.09245504300235,37,44,84.0909090909091,79.54545454545455,72.1176373462582,721176.3734625821,-25.1844975823047,14429916817.938683,14429916817.938683,144299169179386.8,5.514759740186836,8.134041189599547,-3.2582552349545293,178,43,70,4.706368642657887,6.974051703875972,-20.504724132499806,112.09396551724139,17,21,80.95238095238095,80.95238095238095,56.899743813202186,568997.4381320219,-3.7703947137209814,284518.2195771214,284518.2195771214,2846182195.7712135,4.706368642657887,7.244165463062412,-3.261133002798182,184,41,67,6.251927631084085,9.65276857841588,-27.326445815752354,96.14592274678112,20,24,83.33333333333334,79.16666666666666,82.31946661261651,823194.6661261651,-25.1844975823047,4930906.333339844,4930906.333339844,49310063333.39844,6.251927631084085,8.974133658708029,-3.242595831116493,157.08929753461834,157.13488743048802,157.01353995886078,157.01353995886078,245,70,109,3.530736206421204,5.491928386312597,-24.511004668850934,110.34062885326757,22,28,78.57142857142857,75.0,40.422809071518266,404228.09071518265,-13.593279038239059,373245.0407523375,373245.0407523375,3733450407.523375,3.530736206421204,6.043455776809795,-2.7510627195502755,2.0308994372388676,True,176,70,104,1.1223467651530479,1.9888144623536927,-33.94719247033295,108.40472175379428,12,20,60.0,45.0,11.289128952159384,112891.28952159385,-28.91162452824855,503.6584929976323,503.6584929976323,6036584.929976323,1.1223467651530479,3.748118572174509,-2.853821971193737,0.3621340852350457,False,False
UP20_SCORE70_NIKKEIOFF_TP4.0_SL1.25_H1,20,70,False,4.0,1.25,1,361,83,160,5.9730603164059195,8.942393728678764,-27.326445815752333,103.09245504300235,38,44,86.36363636363636,79.54545454545455,83.57440811113973,835744.0811113972,-25.28274488004183,62317142064.53425,62317142064.53425,623171421645342.5,5.9730603164059195,8.73296423258437,-3.270955210071307,178,43,85,4.97815919404368,7.319050349304376,-20.504724132499785,112.09396551724139,18,21,85.71428571428571,76.19047619047619,61.671151241318725,616711.5124131873,-3.7703947137209814,439521.8351722119,439521.8351722119,4396218351.722119,4.97815919404368,7.6025263382229396,-3.261133002798182,184,41,75,6.8881656194994,10.458339472716194,-27.326445815752365,96.14592274678112,20,24,83.33333333333334,79.16666666666666,99.1508700747158,991508.7007471579,-25.28274488004183,13786675.41569373,13786675.41569373,137867754156.9373,6.8881656194994,9.800160846142367,-3.2683055368407024,157.08929753461834,156.59019230518575,157.01353995886078,156.59019230518575,245,69,119,3.9855485267425546,6.103544494454818,-24.511004668850934,110.34062885326757,22,28,78.57142857142857,75.0,47.373026339705305,473730.26339705306,-13.593279038239059,1033563.1808406162,1033563.1808406162,10336631808.406162,3.9855485267425546,6.635165002593919,-2.772893498617448,2.2497350799856246,True,176,71,103,1.1842801890271923,1.994765360495679,-39.85621420320163,108.40472175379428,11,20,55.00000000000001,45.0,12.273049164827246,122730.49164827247,-28.91162452824855,562.795873924405,562.795873924405,6627958.739244049,1.1842801890271923,3.9806042021209973,-2.951128562731252,0.3268208108104987,False,False
