date,ticker,company,sector,direction,return_pct,volume_ratio,gap_pct,intraday_range_pct,ma25_gap_pct,rsi14,avg_volume20,market_nikkei_return_pct,topix_proxy_return_pct,vs_nikkei_pt,vs_topix_pt,upper_wick_pct,lower_wick_pct,body_pct,dist_from_20d_high_pct,failed_breakout,volume_accel_3v10,down_day_volume_bias,cause,cause_confidence,news_headline
2026-09-17,5706.T,三井金属鉱業,資本財・サービス,DOWN,-6.7,1.306,0.176,7.968,-20.659,16.63,1423295,0.334,0.826,-7.034,-7.526,5.92,1.48,92.6,-28.1,False,0.839,0.923,25日線乖離(-20.7%)＋売られ過ぎ(RSI≤30)＋日中値幅拡大(8.0%)＋日経比乖離大(-7.0pt、個別要因の可能性)＋安値圏で引け(下ヒゲ小・売り継続),中,
2026-09-17,4506.T,住友ファーマ,ヘルスケア,UP,5.305,0.972,0.758,5.082,5.744,60.54,3854840,0.334,0.826,4.971,4.479,5.81,5.16,89.03,-5.94,False,0.935,1.208,25日線乖離(+5.7%)＋日経比乖離大(+5.0pt、個別要因の可能性)＋高値圏で引け(上ヒゲ小・買い継続),中,
2026-09-17,5631.T,日本製鉜所,資本財・サービス,UP,4.868,1.429,2.716,3.808,-0.095,44.1,901260,0.334,0.826,4.535,4.043,44.96,0.0,55.04,-5.47,False,1.041,0.973,出来高増(1.4倍)＋寄り付きギャップ(+2.7%)＋日経比乖離大(+4.5pt、個別要因の可能性),中,
2026-09-17,7974.T,任天堂,通信サービス,UP,4.295,0.957,0.185,4.588,-2.039,37.54,7991885,0.334,0.826,3.961,3.469,7.51,2.95,89.54,-7.68,False,0.801,1.12,日経比乖離大(+4.0pt、個別要因の可能性)＋高値圏で引け(上ヒゲ小・買い継続),低,"Small but mighty! Remembering the GameCube, Nintendo’s purple box of delights"
2026-09-17,9104.T,商船三井,資本財・サービス,UP,4.043,1.128,2.042,2.638,5.559,61.26,3320105,0.334,0.826,3.709,3.217,17.19,8.33,74.48,-0.95,False,0.903,0.824,寄り付きギャップ(+2.0%)＋25日線乖離(+5.6%)＋日経比乖離大(+3.7pt、個別要因の可能性),中,
2026-09-17,4004.T,レゾナック・ホールディングス,素材,DOWN,-4.034,1.029,-0.46,5.471,-13.255,32.41,1852920,0.334,0.826,-4.368,-4.86,14.29,17.01,68.71,-20.19,False,0.89,1.375,25日線乖離(-13.3%)＋日経比乖離大(-4.4pt、個別要因の可能性),低,
2026-09-17,7011.T,三菱重工業,資本財・サービス,UP,4.014,1.363,2.756,2.302,-0.609,43.86,15399530,0.334,0.826,3.68,3.188,26.14,20.45,53.41,-6.36,False,1.463,1.289,寄り付きギャップ(+2.8%)＋日経比乖離大(+3.7pt、個別要因の可能性),中,
2026-09-17,6976.T,太陽誘電,情報技術,DOWN,-3.887,0.941,1.602,7.756,-4.202,47.31,27663155,0.334,0.826,-4.221,-4.713,12.45,13.17,74.38,-9.47,False,1.004,0.89,25日線乖離(-4.2%)＋日中値幅拡大(7.8%)＋日経比乖離大(-4.2pt、個別要因の可能性),中,
2026-09-17,5713.T,住友金属鉱山,素材,DOWN,-3.835,1.001,-0.907,3.541,-9.665,26.68,2993175,0.334,0.826,-4.169,-4.661,11.52,2.42,86.06,-21.28,False,0.877,1.068,25日線乖離(-9.7%)＋売られ過ぎ(RSI≤30)＋日経比乖離大(-4.2pt、個別要因の可能性)＋安値圏で引け(下ヒゲ小・売り継続),中,
2026-09-17,3436.T,SUMCO,情報技術,DOWN,-3.662,0.882,0.454,5.046,-13.376,27.37,10937405,0.334,0.826,-3.996,-4.488,5.21,9.72,85.07,-21.07,False,0.932,1.045,25日線乖離(-13.4%)＋売られ過ぎ(RSI≤30)＋日経比乖離大(-4.0pt、個別要因の可能性)＋安値圏で引け(下ヒゲ小・売り継続),中,
