date,sector,avg_return_pct,median_return_pct,n_tickers
2026-09-14,金融,1.546,1.618,22
2026-09-14,生活必需品,1.482,1.528,15
2026-09-14,通信サービス,1.405,2.162,11
2026-09-14,ヘルスケア,1.256,1.253,13
2026-09-14,不動産,0.871,0.868,6
2026-09-14,資本財・サービス,0.857,0.94,66
2026-09-14,一般消費財,0.561,0.461,34
2026-09-14,情報技術,0.367,-0.205,28
2026-09-14,エネルギー,0.152,-0.208,3
2026-09-14,公益事業,0.006,1.147,5
2026-09-14,素材,-0.316,0.079,21
2026-09-15,ヘルスケア,0.541,0.696,13
2026-09-15,通信サービス,0.388,-0.112,11
2026-09-15,情報技術,0.203,-0.278,28
2026-09-15,素材,0.202,0.093,21
2026-09-15,一般消費財,-0.306,-0.271,34
2026-09-15,生活必需品,-0.521,-0.683,15
2026-09-15,資本財・サービス,-0.677,-0.802,66
2026-09-15,公益事業,-0.918,-0.799,5
2026-09-15,金融,-1.632,-1.658,22
2026-09-15,不動産,-1.656,-1.643,6
2026-09-15,エネルギー,-1.91,-2.259,3
2026-09-16,エネルギー,4.149,4.31,3
2026-09-16,素材,2.286,2.21,21
2026-09-16,公益事業,1.372,1.454,5
2026-09-16,情報技術,1.184,1.264,28
2026-09-16,資本財・サービス,1.085,1.074,66
2026-09-16,不動産,0.319,0.068,6
2026-09-16,金融,0.161,0.013,22
2026-09-16,一般消費財,0.09,0.126,34
2026-09-16,生活必需品,-0.225,-0.203,15
2026-09-16,通信サービス,-0.629,-0.718,11
2026-09-16,ヘルスケア,-0.706,0.0,13
2026-09-17,ヘルスケア,2.754,2.656,13
2026-09-17,不動産,1.73,1.816,6
2026-09-17,生活必需品,1.623,1.559,15
2026-09-17,通信サービス,1.545,1.476,11
2026-09-17,一般消費財,1.272,1.363,34
2026-09-17,資本財・サービス,1.195,1.358,66
2026-09-17,公益事業,1.164,1.177,5
2026-09-17,金融,0.895,1.066,22
2026-09-17,素材,0.657,1.143,21
2026-09-17,情報技術,-0.58,-0.325,28
2026-09-17,エネルギー,-1.344,-0.984,3
2026-09-18,情報技術,2.113,1.277,28
2026-09-18,素材,-0.309,-0.72,21
2026-09-18,ヘルスケア,-0.313,-0.287,13
2026-09-18,資本財・サービス,-0.324,-0.72,66
2026-09-18,通信サービス,-0.773,-1.156,11
2026-09-18,金融,-0.86,-0.846,22
2026-09-18,一般消費財,-0.97,-1.087,34
2026-09-18,エネルギー,-1.213,-1.315,3
2026-09-18,生活必需品,-1.654,-1.679,15
2026-09-18,不動産,-1.837,-1.86,6
2026-09-18,公益事業,-1.947,-2.127,5
2026-09-18,情報技術,2.113,1.277,28
2026-09-18,素材,-0.309,-0.72,21
2026-09-18,ヘルスケア,-0.313,-0.287,13
2026-09-18,資本財・サービス,-0.324,-0.72,66
2026-09-18,通信サービス,-0.773,-1.156,11
2026-09-18,金融,-0.86,-0.846,22
2026-09-18,一般消費財,-0.97,-1.087,34
2026-09-18,エネルギー,-1.213,-1.315,3
2026-09-18,生活必需品,-1.654,-1.679,15
2026-09-18,不動産,-1.837,-1.86,6
2026-09-18,公益事業,-1.947,-2.127,5
2026-09-18,情報技術,2.113,1.277,28
2026-09-18,素材,-0.309,-0.72,21
2026-09-18,ヘルスケア,-0.313,-0.287,13
2026-09-18,資本財・サービス,-0.324,-0.72,66
2026-09-18,通信サービス,-0.773,-1.156,11
2026-09-18,金融,-0.86,-0.846,22
2026-09-18,一般消費財,-0.97,-1.087,34
2026-09-18,エネルギー,-1.213,-1.315,3
2026-09-18,生活必需品,-1.654,-1.679,15
2026-09-18,不動産,-1.837,-1.86,6
2026-09-18,公益事業,-1.947,-2.127,5
2026-09-18,情報技術,2.113,1.277,28
2026-09-18,素材,-0.309,-0.72,21
2026-09-18,ヘルスケア,-0.313,-0.287,13
2026-09-18,資本財・サービス,-0.324,-0.72,66
2026-09-18,通信サービス,-0.773,-1.156,11
2026-09-18,金融,-0.86,-0.846,22
2026-09-18,一般消費財,-0.97,-1.087,34
2026-09-18,エネルギー,-1.213,-1.315,3
2026-09-18,生活必需品,-1.654,-1.679,15
2026-09-18,不動産,-1.837,-1.86,6
2026-09-18,公益事業,-1.947,-2.127,5
