feature,importance
nikkei_rsi,0.11994197151992692
future_ma5,0.11349217905374938
future_rsi,0.11336956873955228
nikkei_macd,0.1065121206154682
nikkei_kairi25,0.09765696408477091
nikkei_return_5d,0.09511153058124691
future_return,0.03773070188537316
future_gap,0.03648511189483423
atr_ratio,0.02829162892180945
breakout20,0.0236003185987754
vol_ratio,0.019406002617157175
volatility20,0.018790543106761877
bb_position,0.01632747325781789
from_low,0.015452762677001696
volume_surge,0.013892768001398652
ret20,0.01232144038559448
avg_volume_ratio,0.011560281556982447
bb_width,0.011533350257090453
rsi,0.011476540353965179
ret5,0.011064325721449487
relative_strength,0.010379251321645222
ret1,0.009325554375787673
ma25_slope5,0.00913761721359396
adx,0.008033608549840851
ma25,0.007932092338029323
obv_change,0.007902224149010024
from_high,0.007624998111530486
ma75,0.007101109599601528
signal,0.007007501917174824
macd,0.006887444811265766
momentum_score,0.0033122817953791404
trend_alignment,0.0013387319864152079
