date,rows,valid_prob,up20,up25,up30,up35,up40,up42_5,up45,up50,up55,up60,mean_up,median_up,max_up
2025-08-14,90,90,90,19,3,0,0,0,0,0,0,0,23.69751255598088,23.179939522239643,31.73002113321922
2025-08-15,90,90,75,12,1,0,0,0,0,0,0,0,22.340658149616253,21.956215680114582,30.634540047506917
2025-08-18,91,91,88,35,2,0,0,0,0,0,0,0,24.463563971071864,24.46240412606635,31.36778310335754
2025-08-19,91,91,91,91,67,11,0,0,0,0,0,0,31.88468256385552,32.31697502344061,36.98756070649058
2025-08-20,91,91,91,88,43,0,0,0,0,0,0,0,29.61563179141295,29.735686338611018,33.376178144154345
2025-08-21,90,90,90,89,67,2,0,0,0,0,0,0,31.007048525072545,31.49162037972176,35.68602254234796
2025-08-22,90,90,90,90,81,44,0,0,0,0,0,0,34.473269986088496,34.955214834412224,39.18528963673942
2025-08-25,90,90,90,89,68,10,0,0,0,0,0,0,31.726590264080112,32.015445134317204,36.50370919650644
2025-08-26,90,90,90,90,86,63,3,0,0,0,0,0,36.22834198385645,36.87236869659867,40.16140767801452
2025-08-27,90,90,90,90,88,63,7,0,0,0,0,0,36.33574917992759,36.84536703890765,41.339676276407936
2025-08-28,90,90,90,90,87,63,0,0,0,0,0,0,36.06077478417482,36.80139994249882,39.66649550335385
2025-08-29,90,90,90,90,84,50,0,0,0,0,0,0,34.81248318264088,35.65456548021744,39.2088580148449
2025-09-02,90,90,90,90,88,75,3,0,0,0,0,0,37.18691994286142,38.03364667118239,40.75213563043552
2025-09-03,90,90,90,88,45,0,0,0,0,0,0,0,29.811012972493064,30.030813604632492,34.24653975711252
2025-09-04,90,90,90,90,90,65,1,0,0,0,0,0,35.93751342176243,36.16701731970774,40.14746239580857
2025-09-05,90,90,90,90,90,84,45,3,0,0,0,0,39.298207356754325,39.99545146455479,43.51398295921036
2025-09-08,90,90,90,90,85,22,0,0,0,0,0,0,33.6359005675762,34.15420051171739,36.87535155224524
2025-09-09,90,90,90,90,81,27,0,0,0,0,0,0,33.483962439943326,33.96503309830388,37.00002120540827
2025-09-10,90,90,90,90,74,0,0,0,0,0,0,0,31.914835813565617,32.6129767525054,34.6349645238402
2025-09-11,90,90,90,90,75,0,0,0,0,0,0,0,31.34135177912593,31.66376240209807,34.19753180491813
2025-09-12,90,90,90,90,84,3,0,0,0,0,0,0,32.63527792592984,33.049480195412926,35.59672564680689
2025-09-16,90,90,90,90,80,10,0,0,0,0,0,0,32.77448071972065,32.88580013980882,36.12313249896412
2025-09-17,90,90,90,90,74,2,0,0,0,0,0,0,31.93790238266685,32.04593891663445,35.68195204693873
2025-09-18,90,90,90,90,70,3,0,0,0,0,0,0,31.696940281538485,31.687883452083966,35.32653566186944
2025-09-19,90,90,90,90,79,0,0,0,0,0,0,0,32.292391525863344,32.455994938757385,34.76346429030941
2025-09-22,90,90,90,90,86,18,0,0,0,0,0,0,33.06290838721606,33.274539276875004,37.18305451333085
2025-09-24,90,90,90,90,76,2,0,0,0,0,0,0,31.65342702210284,31.735417424736774,35.44862633311902
2025-09-25,90,90,90,90,73,0,0,0,0,0,0,0,31.535146066304314,31.684344686742,34.681140506032875
2025-09-26,90,90,90,90,66,0,0,0,0,0,0,0,31.35618695684677,31.649784524759546,34.881215863301726
2025-09-29,90,90,90,89,70,1,0,0,0,0,0,0,31.745455004480203,32.36779607976642,35.007658503305024
2025-09-30,90,90,90,90,87,48,0,0,0,0,0,0,34.73714351493121,35.5241596343584,38.34006412789542
2025-10-01,90,90,90,90,89,66,3,0,0,0,0,0,36.60028516713558,37.04649021832576,40.732462088826985
2025-10-02,90,90,90,90,90,61,1,0,0,0,0,0,36.010291858383695,36.12531960351491,40.28006634511769
2025-10-03,90,90,90,90,81,9,0,0,0,0,0,0,32.233369061534276,32.21142518319995,35.82689541248423
2025-10-06,90,90,90,90,69,0,0,0,0,0,0,0,31.07107645751517,31.312150871579696,33.41622625777288
2025-10-07,90,90,72,22,0,0,0,0,0,0,0,0,22.617849435259515,22.673825948249103,26.976891306499034
2025-10-08,91,91,91,91,62,0,0,0,0,0,0,0,31.022949176476967,31.21284965169097,34.89656269052782
2025-10-09,91,91,91,90,53,0,0,0,0,0,0,0,30.40971428109151,30.54369488909328,34.0384934930193
2025-10-10,91,91,91,91,76,2,0,0,0,0,0,0,31.606437450817424,31.61052143214949,36.15059011510905
2025-10-14,91,91,88,1,0,0,0,0,0,0,0,0,22.583287631880697,22.756152391767053,25.067706140490937
2025-10-15,91,91,91,91,79,5,0,0,0,0,0,0,32.15250941363768,32.304085499461344,36.06107685414098
2025-10-16,91,91,91,91,73,2,0,0,0,0,0,0,31.457882427500543,31.78675141915448,35.21770996962944
2025-10-17,91,91,91,90,39,1,0,0,0,0,0,0,29.64449472596188,29.43771916359053,35.94690938335484
2025-10-20,91,91,85,14,1,0,0,0,0,0,0,0,22.91711153361076,22.591398274879168,30.777433751437776
2025-10-21,91,91,45,6,0,0,0,0,0,0,0,0,20.582548707090172,19.94068266559588,29.215847473335145
2025-10-22,91,91,43,8,0,0,0,0,0,0,0,0,20.117178836804584,19.800030913205617,27.162506495192492
2025-10-23,91,91,75,13,2,0,0,0,0,0,0,0,22.33304050492703,21.83003607692948,31.21929582515463
2025-10-24,91,91,51,10,0,0,0,0,0,0,0,0,21.05851553313474,20.307448182159867,29.913470488539332
2025-10-27,91,91,44,8,0,0,0,0,0,0,0,0,20.45529246665637,19.88616713786975,27.16388430532829
2025-10-28,91,91,76,19,0,0,0,0,0,0,0,0,22.202537326540394,21.67416034482383,27.725114789834613
2025-10-29,91,91,41,1,0,0,0,0,0,0,0,0,19.511473742526924,19.447608287488404,25.159061963712904
2025-10-30,91,91,51,10,0,0,0,0,0,0,0,0,21.042380955848426,20.666662803014106,29.72329415548179
2025-10-31,91,91,46,5,0,0,0,0,0,0,0,0,20.129130390968218,20.27112199333596,28.114987503353216
2025-11-04,91,91,85,19,0,0,0,0,0,0,0,0,23.51287965822839,23.47723322046357,29.57228324598703
2025-11-05,91,91,88,31,2,0,0,0,0,0,0,0,23.718382125197767,23.131653814190734,32.768609655317555
2025-11-06,91,91,83,32,3,0,0,0,0,0,0,0,24.10673326730166,24.13608367713424,34.86346179577654
2025-11-07,91,91,91,60,10,1,0,0,0,0,0,0,26.357555061042564,25.987995404388165,35.17766131034152
2025-11-10,91,91,91,72,14,2,0,0,0,0,0,0,27.271104100151916,26.940587265735143,35.12202718079594
2025-11-11,91,91,91,46,9,0,0,0,0,0,0,0,25.6107382354526,25.01402869437029,34.87902372880474
2025-11-12,91,91,84,21,4,0,0,0,0,0,0,0,23.47268963401796,22.78504554193772,33.731990694545075
2025-11-13,91,91,76,18,4,1,0,0,0,0,0,0,23.174229698615722,22.55595616267701,37.248556053162055
2025-11-14,91,91,91,89,14,1,0,0,0,0,0,0,28.124543470754052,27.95593530930929,35.085917467496344
2025-11-17,91,91,91,91,52,3,0,0,0,0,0,0,30.52236991828391,30.45152143961959,36.23481476724126
2025-11-18,91,91,83,11,0,0,0,0,0,0,0,0,22.63679461672795,22.647503851380943,27.49788019134864
2025-11-19,91,91,23,0,0,0,0,0,0,0,0,0,18.11684735467431,17.84168307802643,23.533046464065187
2025-11-20,91,91,91,91,63,10,0,0,0,0,0,0,31.493864011025426,31.66609562633568,37.393034109728895
2025-11-21,91,91,91,33,0,0,0,0,0,0,0,0,24.161166871159242,23.84522862795303,29.58880035557929
2025-11-25,91,91,85,19,0,0,0,0,0,0,0,0,22.965629560685688,22.62236873224454,27.34787397835482
