fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
1,DEV,2021-01-04,2021-12-08,222,48460,5477,42983,5477,0,5477,0,3079,2398,2983
1,VALIDATION,2021-12-30,2022-08-05,140,30621,183,30438,183,0,183,0,97,86,0
1,OOS,2022-08-29,2023-08-21,232,50831,2172,48659,2172,0,2172,0,210,1962,207
2,DEV,2021-01-04,2022-07-22,366,79965,5660,74305,5660,0,5660,0,3176,2484,2983
2,VALIDATION,2022-08-15,2023-08-09,235,51471,2084,49387,2084,0,2084,0,197,1887,194
2,OOS,2023-08-31,2024-08-22,232,51379,2498,48881,2498,0,2498,0,323,2175,320
3,DEV,2021-01-04,2023-03-01,509,111195,7658,103537,7658,0,7658,0,3297,4361,3101
3,VALIDATION,2023-03-23,2024-08-13,331,73108,2665,70443,2665,0,2665,0,409,2256,406
3,OOS,2024-09-04,2025-08-28,232,51473,2555,48918,2555,0,2555,0,181,2374,0
4,DEV,2021-01-04,2023-10-05,653,142821,7955,134866,7955,0,7955,0,3388,4567,3191
4,VALIDATION,2023-10-27,2025-08-19,426,94483,4929,89554,4929,0,4929,0,502,4427,319
4,OOS,2025-09-10,2026-09-04,232,51407,1347,50060,1347,0,1347,0,1087,260,1087
