fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
1,DEV,2019-01-29,2021-03-09,494,107805,4106,103699,4106,0,4104,2,1182,2922,1123
1,VALIDATION,2021-03-30,2022-08-08,321,70106,2521,67585,2521,0,2521,0,1186,1335,976
1,OOS,2022-08-30,2023-08-22,232,50833,2188,48645,2188,0,2188,0,219,1969,216
2,DEV,2019-01-29,2021-10-14,638,139215,8024,131191,8024,0,8022,2,3415,4607,3254
2,VALIDATION,2021-11-05,2023-08-10,416,91053,2301,88752,2301,0,2301,0,315,1986,204
2,OOS,2023-09-01,2024-08-23,232,51381,2484,48897,2484,0,2484,0,340,2144,337
3,DEV,2019-01-29,2022-05-26,781,170458,8118,162340,8118,0,8116,2,3468,4648,3259
3,VALIDATION,2022-06-17,2024-08-14,512,112694,4791,107903,4791,0,4791,0,620,4171,554
3,OOS,2024-09-05,2025-08-29,232,51473,2565,48908,2565,0,2565,0,200,2365,0
4,DEV,2019-01-29,2022-12-30,924,201735,9981,191754,9981,0,9979,2,3663,6316,3393
4,VALIDATION,2023-01-26,2025-08-20,608,134474,5212,129262,5212,0,5212,0,623,4589,420
4,OOS,2025-09-11,2026-09-08,232,51365,1339,50026,1339,0,1339,0,1076,263,1076
