strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_wins,dev_losses,dev_holds,dev_win_rate,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_avg_month_return,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,dev_objective,validation_signals,validation_wins,validation_losses,validation_holds,validation_win_rate,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_avg_month_return,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_wins,oos_losses,oos_holds,oos_win_rate,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_avg_month_return,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_pass
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H7,45,50,False,4.0,1.0,7,133,119,1,13,99.16666666666667,7.3360739530311685,426.00745851886876,0.0,100.16134020618557,6,6,100.0,29.32495847349051,6.367530397130694,325.39623712060467,325.39623712060467,4253962.371206047,7.3360739530311685,7.409042083924672,-2.2957193249111607,136.34905928015115,53,41,5,7,89.13043478260869,7.400775183533445,38.96815689157983,-2.432222470391132,67.21614583333333,5,5,100.0,13.16671702249298,2.956967259896537,83.79342971268329,83.79342971268329,1837934.297126833,7.400775183533445,8.386914072836705,-2.0661581537778546,6.1298132645460335,True,94,41,35,18,53.94736842105263,4.396710426441814,5.0783214742344365,-10.284296771626023,188.0,3,3,100.0,25.54960552537236,10.521777560013001,95.1555478838263,95.1555478838263,1951555.478838263,4.396710426441814,8.72252933713532,-2.895384308727239,0.13031977592278046,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.25_H3,45,50,False,4.0,1.25,3,133,115,1,17,99.13793103448276,7.343143553498249,855.0709379583996,0.0,100.16134020618557,6,6,100.0,29.316562087497726,6.367530397130694,325.3209434219141,325.3209434219141,4253209.434219141,7.343143553498249,7.407436378431584,-1.14350933770192,136.33023585547852,53,30,1,22,96.7741935483871,6.720718910518528,63.936053430862984,0.0,67.21614583333333,5,5,100.0,13.443335393435266,4.743371905035176,86.68815521214208,86.68815521214208,1866881.5521214209,6.720718910518528,6.9588035597617575,-5.659682850129387,5.554369647524197,True,94,27,31,36,46.55172413793103,3.836336453397626,4.321092920782041,-11.269540281749368,188.0,3,3,100.0,21.651864101812226,5.730889359587077,77.21543537417467,77.21543537417467,1772154.3537417469,3.836336453397626,7.447603910497643,-3.502690959418536,0.06758460506879173,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H3,45,50,False,4.0,1.0,3,133,115,1,17,99.13793103448276,7.343143553498249,855.0709379583996,0.0,100.16134020618557,6,6,100.0,29.316562087497726,6.367530397130694,325.3209434219141,325.3209434219141,4253209.434219141,7.343143553498249,7.407436378431584,-1.14350933770192,136.33023585547852,53,30,1,22,96.7741935483871,6.741698845802036,79.5685956999729,0.0,67.21614583333333,5,5,100.0,13.467822280057376,4.743371905035176,86.8852003714472,86.8852003714472,1868852.003714472,6.741698845802036,6.9588035597617575,-4.547746280103503,5.639470771975147,True,94,27,33,34,45.0,3.894782883843635,4.816396304584051,-10.10184344184265,188.0,3,3,100.0,21.968445756447355,5.730889359587077,78.59462838009578,78.59462838009578,1785946.283800958,3.894782883843635,7.574431096286097,-2.906991084610611,0.06053137248701867,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.5_H3,45,50,False,4.0,1.5,3,133,115,1,17,99.13793103448276,7.343143553498249,855.0709379583996,0.0,100.16134020618557,6,6,100.0,29.316562087497726,6.367530397130694,325.3209434219141,325.3209434219141,4253209.434219141,7.343143553498249,7.407436378431584,-1.14350933770192,136.33023585547852,53,30,1,22,96.7741935483871,6.6997389752350225,53.437407310659914,0.0,67.21614583333333,5,5,100.0,13.418848506813152,4.743371905035176,86.49111005283694,86.49111005283694,1864911.1005283694,6.6997389752350225,6.9588035597617575,-6.771619420155261,5.47163128970709,True,94,27,31,36,46.55172413793103,3.632593063904785,3.67321368804358,-13.652104008060828,188.0,3,3,100.0,20.505934667216728,5.730889359587077,72.34667059234872,72.34667059234872,1723466.7059234872,3.632593063904785,7.447603910497643,-4.120493495300054,0.0687386209942643,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.75_H3,45,50,False,4.0,1.75,3,133,115,1,17,99.13793103448276,7.343143553498249,855.0709379583996,0.0,100.16134020618557,6,6,100.0,29.316562087497726,6.367530397130694,325.3209434219141,325.3209434219141,4253209.434219141,7.343143553498249,7.407436378431584,-1.14350933770192,136.33023585547852,53,30,1,22,96.7741935483871,6.697605896946102,52.559912102772735,0.0,67.21614583333333,5,5,100.0,13.416358868713166,4.743371905035176,86.47107601814751,86.47107601814751,1864710.7601814752,6.697605896946102,6.9588035597617575,-6.884672569468053,5.463098976551407,True,94,27,31,36,46.55172413793103,3.4317215848883276,3.200163355572173,-15.96140766356191,188.0,3,3,100.0,19.390996016035125,5.730889359587077,67.63011923692628,67.63011923692628,1676301.1923692627,3.4317215848883276,7.447603910497643,-4.729587657478988,0.06088601041255075,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H3,45,50,False,4.0,2.0,3,133,115,1,17,99.13793103448276,7.343143553498249,855.0709379583996,0.0,100.16134020618557,6,6,100.0,29.316562087497726,6.367530397130694,325.3209434219141,325.3209434219141,4253209.434219141,7.343143553498249,7.407436378431584,-1.14350933770192,136.33023585547852,53,30,1,22,96.7741935483871,6.697605896946102,52.559912102772735,0.0,67.21614583333333,5,5,100.0,13.416358868713166,4.743371905035176,86.47107601814751,86.47107601814751,1864710.7601814752,6.697605896946102,6.9588035597617575,-6.884672569468053,5.463098976551407,True,94,27,31,36,46.55172413793103,3.253753425226443,2.8724205172990023,-18.03526399391735,188.0,3,3,100.0,18.37421431715891,5.730889359587077,63.38880541115191,63.38880541115191,1633888.0541115191,3.253753425226443,7.447603910497643,-5.2692330448408295,0.05465040564912724,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.25_H7,45,50,False,4.0,1.25,7,133,119,1,13,99.16666666666667,7.33194666106705,343.80111620003487,0.0,100.16134020618557,6,6,100.0,29.314510776308357,6.367530397130694,325.17563423383933,325.17563423383933,4251756.342338393,7.33194666106705,7.409042083924672,-2.8446491561389453,136.29390855845983,53,41,5,7,89.13043478260869,7.358450122526771,32.01616566861811,-3.015278087988904,67.21614583333333,5,5,100.0,12.953171306881945,2.682849237031548,82.01911669429067,82.01911669429067,1820191.1669429068,7.358450122526771,8.386914072836705,-2.5148038004485858,6.0630207797683875,True,94,42,33,19,56.00000000000001,4.363672808876408,4.44062002416608,-13.128001553999269,188.0,3,3,100.0,24.9941146763845,10.521777560013001,92.39826652186774,92.39826652186774,1923982.6652186776,4.363672808876408,8.678748404585663,-3.6126790498588846,0.13869930803483838,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H5,45,50,False,4.0,1.0,5,133,119,1,13,99.16666666666667,7.330871771371565,425.7060757874435,0.0,100.16134020618557,6,6,100.0,29.311378320764828,6.367530397130694,325.08601649204644,325.08601649204644,4250860.164920464,7.330871771371565,7.403800491797949,-2.2957193249111607,136.2715041230116,53,33,5,15,86.8421052631579,6.798298628955213,35.391556138409925,-2.432222470391132,67.21614583333333,5,5,100.0,12.47390289164677,2.956967259896537,78.4361298142682,78.4361298142682,1784361.298142682,6.798298628955213,7.7247192050654805,-2.0953389017033586,5.190107759567142,True,94,35,36,23,49.29577464788733,4.052859772588419,4.687888214486178,-10.327401337649045,188.0,3,3,100.0,22.741400590710978,7.546113112405917,82.22697155548143,82.22697155548143,1822269.7155548143,4.052859772588419,8.349508982776147,-2.869519510491805,0.13245781553522828,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.5_H7,45,50,False,4.0,1.5,7,133,119,1,13,99.16666666666667,7.327819369102932,288.1894185221055,0.0,100.16134020618557,6,6,100.0,29.304063079126205,6.367530397130694,324.955031347074,324.955031347074,4249550.31347074,7.327819369102932,7.409042083924672,-3.393578987366741,136.2387578367685,53,41,5,7,89.13043478260869,7.316125061520098,27.16914073816848,-3.598333705586676,67.21614583333333,5,5,100.0,12.73990712918791,2.4087312141665373,80.2539374653096,80.2539374653096,1802539.374653096,7.316125061520098,8.386914072836705,-2.963449447119319,5.987166083532454,True,94,42,32,20,56.75675675675676,4.228701628815352,3.877614099523989,-14.364082823190039,188.0,3,3,100.0,24.347377568192172,10.521777560013001,89.54192903814398,89.54192903814398,1895419.2903814397,4.228701628815352,8.639234057853729,-4.316704952446505,0.14272126369004137,False
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.25_H5,45,50,False,4.0,1.25,5,133,119,1,13,99.16666666666667,7.326744479407446,343.5578910700626,0.0,100.16134020618557,6,6,100.0,29.300918850322336,6.367530397130694,324.86448577294266,324.86448577294266,4248644.857729427,7.326744479407446,7.403800491797949,-2.8446491561389453,136.21612144323566,53,33,5,15,86.8421052631579,6.75597356794854,29.150060842949696,-3.015278087988904,67.21614583333333,5,5,100.0,12.262683743131223,2.682849237031548,76.71026368456566,76.71026368456566,1767102.6368456567,6.75597356794854,7.7247192050654805,-2.5439845483740897,5.113738311674498,True,94,35,34,25,50.72463768115942,3.963324258519596,4.074305182209147,-13.169800689527833,188.0,3,3,100.0,21.992991624116645,7.546113112405917,78.800109927618,78.800109927618,1788001.0992761801,3.963324258519596,8.228919008640613,-3.5641958887527885,0.1397700404180998,False
