strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,dev_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,profit_objective,sizing,prob_10y,prob_15y,prob_20y,bankruptcy_prob,p90_max_dd,final_status,up_threshold,score_threshold,nikkei_filter,tp_multiplier,sl_multiplier,hold_days,oos_validation_pf_ratio,fold,oos_end
UP45_SCORE70_NIKKEION_TP4.0_SL1.25_H5,45,70,True,4.0,1.25,5,331,3,25,9.165052485638828,659.7496243762067,0.0,97.49818548387096,11,11,100.0,100.0,95.89688414803032,958968.8414803032,6.485568523221041,7987.145886961305,7987.145886961305,80871458.86961305,9.165052485638828,9.262919237512245,-1.5350457191881288,162.0,33,1,15,6.051966138837501,36.287292215865385,0.0,40.99744897959184,4,4,100.0,100.0,10.00187153815047,100018.71538150468,6.214490708086884,46.1291762356524,46.1291762356524,1461291.762356524,6.051966138837501,6.417955169742717,-5.659682850129387,4.708699306921036,True,146,51,56,3.0383575709733623,4.908492030165182,-5.985146870392888,292.0,3,4,75.0,75.0,11.34064529183842,113406.4529183842,-5.6906466648532605,49.77434171653074,49.77434171653074,1497743.4171653076,3.0383575709733623,5.864175952730176,-2.2254217675932506,0.1352675201270353,False,True,36.94173317759028,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,1.25,5,0.1352675201270353,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL1.5_H5,45,70,True,4.0,1.5,5,331,2,26,9.18974125816158,8638.79162591999,0.0,97.49818548387096,11,11,100.0,100.0,95.98598332099527,959859.8332099528,6.485568523221041,8048.694177262256,8048.694177262256,81486941.77262256,9.18974125816158,9.246676313526448,-0.1760753493591892,162.0,33,1,15,6.018271091260959,30.32872237628766,0.0,40.99744897959184,4,4,100.0,100.0,9.900442407575882,99004.42407575884,6.214490708086884,45.60937674521672,45.60937674521672,1456093.767452167,6.018271091260959,6.417955169742717,-6.771619420155261,4.708699306921036,True,146,48,58,3.124511862003855,5.067809001533128,-7.563720338616475,292.0,3,4,75.0,75.0,11.282045351273432,112820.45351273433,-6.77071594247024,49.15844286752227,49.15844286752227,1491584.428675223,3.124511862003855,5.799207433537552,-2.336324929877444,0.1670960266198145,False,True,36.90781365564648,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,1.5,5,0.1670960266198145,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL1.75_H5,45,70,True,4.0,1.75,5,331,2,26,9.18974125816158,8638.79162591999,0.0,97.49818548387096,11,11,100.0,100.0,95.98598332099527,959859.8332099528,6.485568523221041,8048.694177262256,8048.694177262256,81486941.77262256,9.18974125816158,9.246676313526448,-0.1760753493591892,162.0,33,1,15,5.984576043684418,26.05100613067989,0.0,40.99744897959184,4,4,100.0,100.0,9.79901327700129,97990.13277001287,6.214490708086884,45.08957725478102,45.08957725478102,1450895.77254781,5.984576043684418,6.417955169742717,-7.883555990181135,4.708699306921036,True,146,46,60,3.188513560271117,5.131582639021837,-9.1247222528572,292.0,3,4,75.0,75.0,11.260686876899486,112606.86876899489,-7.844758534969321,48.69063110275791,48.69063110275791,1486906.311027579,3.188513560271117,5.781972309213751,-2.449440241778089,0.1969821285703989,False,True,36.855946435237925,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,1.75,5,0.1969821285703989,4,2026-09-08
UP45_SCORE70_NIKKEION_TP3.5_SL1.5_H5,45,70,True,3.5,1.5,5,331,2,17,8.157690195235878,7668.727096524865,0.0,97.49818548387096,11,11,100.0,100.0,75.44933321008642,754493.3321008642,5.662372457818421,4904.631207147522,4904.631207147522,50046312.07147522,8.157690195235878,8.208351383956819,-0.1760753493591892,162.0,33,1,9,5.78418480904459,29.187954292046587,0.0,40.99744897959184,4,4,100.0,100.0,9.672691600997124,96726.91600997122,5.433339243401902,44.3742014749055,44.3742014749055,1443742.014749055,5.78418480904459,6.176553691207086,-6.771619420155261,4.9107221982264,True,146,46,48,3.064667526515485,5.016649484478461,-7.175762763842586,292.0,3,4,75.0,75.0,11.028059400062572,110280.59400062572,-6.77071594247024,47.90816413822285,47.90816413822285,1479081.6413822286,3.064667526515485,5.5883814922233785,-2.421667181545155,0.1718739667152845,False,True,36.42301458099989,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,3.5,1.5,5,0.1718739667152845,4,2026-09-08
UP45_SCORE70_NIKKEION_TP3.5_SL1.75_H5,45,70,True,3.5,1.75,5,331,2,17,8.157690195235878,7668.727096524865,0.0,97.49818548387096,11,11,100.0,100.0,75.44933321008642,754493.3321008642,5.662372457818421,4904.631207147522,4904.631207147522,50046312.07147522,8.157690195235878,8.208351383956819,-0.1760753493591892,162.0,33,1,9,5.7504897614680495,25.07113774098857,0.0,40.99744897959184,4,4,100.0,100.0,9.570737592548255,95707.37592548254,5.433339243401902,43.85496602647135,43.85496602647135,1438549.6602647137,5.7504897614680495,6.176553691207086,-7.883555990181135,4.9107221982264,True,146,44,50,3.1286692247827474,5.081091242505122,-8.743316245488309,292.0,3,4,75.0,75.0,11.007575961513185,110075.75961513184,-7.844758534969321,47.456977312195,47.456977312195,1474569.77312195,3.1286692247827474,5.575618153500325,-2.543803291789816,0.2026669589149954,False,True,36.37560340118896,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,3.5,1.75,5,0.2026669589149954,4,2026-09-08
UP45_SCORE60_NIKKEION_TP4.0_SL1.75_H5,45,60,True,4.0,1.75,5,477,9,36,8.888173813219693,342.86811922098985,0.0,133.19896788990826,14,14,100.0,100.0,73.75235471079714,737523.5471079713,6.485568523221041,10784.525576664566,10784.525576664566,108845255.76664568,8.888173813219693,9.085599048251884,-1.3779384084543231,162.0,65,4,26,5.764375093024774,26.57078093680149,-5.613179878666608,59.05783582089552,6,7,85.71428571428571,85.71428571428571,8.866302052705196,88663.02052705197,-5.613179878666608,77.84431370421837,77.84431370421837,1778443.1370421837,5.764375093024774,6.382577278362806,-3.663208233380197,4.452231309579493,True,177,65,70,2.580210639215408,3.9314364129569785,-7.3566823704637745,354.0,3,4,75.0,75.0,11.472849750201126,114728.49750201126,-5.661093171600773,50.58586667576599,50.58586667576599,1505858.66675766,2.580210639215408,5.468663272964088,-2.396815437397703,0.1479608906606052,False,True,36.113939826245975,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,60,True,4.0,1.75,5,0.1479608906606052,4,2026-09-08
UP45_SCORE70_NIKKEION_TP3.5_SL1.25_H5,45,70,True,3.5,1.25,5,331,3,16,8.133001422713123,585.5696618386562,0.0,97.49818548387096,11,11,100.0,100.0,75.3613272473929,753613.272473929,5.662372457818421,4866.5606474631295,4866.5606474631295,49665606.474631295,8.133001422713123,8.221428683157342,-1.5350457191881288,162.0,33,1,9,5.817879856621133,34.92240172328883,0.0,40.99744897959184,4,4,100.0,100.0,9.774645609445995,97746.45609445997,5.433339243401902,44.89343692333965,44.89343692333965,1448934.3692333964,5.817879856621133,6.176553691207086,-5.659682850129387,4.9107221982264,True,146,50,46,2.9166267625875424,4.7591442760087,-5.6906466648532605,292.0,3,4,75.0,75.0,10.815577319458214,108155.77319458214,-5.6906466648532605,47.24973051699519,47.24973051699519,1472497.305169952,2.9166267625875424,5.615680046097554,-2.2655555417516813,0.1362776911427301,False,True,35.92702706562502,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,3.5,1.25,5,0.1362776911427301,4,2026-09-08
UP45_SCORE60_NIKKEION_TP4.0_SL1.5_H5,45,60,True,4.0,1.5,5,477,9,36,8.889310694282383,358.54670294495224,0.0,133.19896788990826,14,14,100.0,100.0,73.78128663504991,737812.8663504991,6.485568523221041,10790.023590656238,10790.023590656238,108900235.90656236,8.889310694282383,9.085599048251884,-1.3176837121317315,162.0,65,4,26,5.793598688340924,30.528352445533123,-4.825582753142809,59.05783582089552,6,7,85.71428571428571,85.71428571428571,9.000217558963636,90002.17558963636,-4.825582753142809,79.56627621181858,79.56627621181858,1795662.762118186,5.793598688340924,6.382577278362806,-3.1883248094927787,4.484770523563932,True,177,68,67,2.5066706958514966,3.83811966330556,-6.973751569244369,354.0,3,4,75.0,75.0,11.351865005731616,113518.65005731616,-5.831623735731606,49.87508903094648,49.87508903094648,1498750.890309465,2.5066706958514966,5.504677251302078,-2.298957459208996,0.1257231182112859,False,True,35.76846713831297,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,60,True,4.0,1.5,5,0.1257231182112859,4,2026-09-08
UP45_SCORE70_NIKKEION_TP4.0_SL2.0_H5,45,70,True,4.0,2.0,5,331,2,26,9.18974125816158,8638.79162591999,0.0,97.49818548387096,11,11,100.0,100.0,95.98598332099527,959859.8332099528,6.485568523221041,8048.694177262256,8048.694177262256,81486941.77262256,9.18974125816158,9.246676313526448,-0.1760753493591892,162.0,33,1,15,5.950880996107877,22.830830447270227,0.0,40.99744897959184,4,4,100.0,100.0,9.697584146426705,96975.84146426704,6.214490708086884,44.56977776434536,44.56977776434536,1445697.7776434536,5.950880996107877,6.417955169742717,-8.995492560207007,4.708699306921036,True,146,46,60,3.1137267264408126,4.678231194968545,-10.668249942647568,292.0,3,4,75.0,75.0,10.513320841444257,105133.20841444256,-8.912774442350525,44.69771928024189,44.69771928024189,1446977.192802419,3.1137267264408126,5.781972309213751,-2.686807149152535,0.2049084988727555,False,True,35.316349582114526,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,4.0,2.0,5,0.2049084988727555,4,2026-09-08
UP45_SCORE70_NIKKEION_TP3.5_SL2.0_H5,45,70,True,3.5,2.0,5,331,2,17,8.157690195235878,7668.727096524865,0.0,97.49818548387096,11,11,100.0,100.0,75.44933321008642,754493.3321008642,5.662372457818421,4904.631207147522,4904.631207147522,50046312.07147522,8.157690195235878,8.208351383956819,-0.1760753493591892,162.0,33,1,9,5.716794713891508,21.972083996040613,0.0,40.99744897959184,4,4,100.0,100.0,9.468783584099375,94687.83584099376,5.433339243401902,43.33573057803719,43.33573057803719,1433357.305780372,5.716794713891508,6.176553691207086,-8.995492560207007,4.9107221982264,True,146,44,50,3.053882390952442,4.629471217937072,-10.293322162889284,292.0,3,4,75.0,75.0,10.262585348594854,102625.85348594854,-8.912774442350525,43.50011258380761,43.50011258380761,1435001.1258380762,3.053882390952442,5.575618153500325,-2.791959604044919,0.2106978663822378,False,True,34.846142598350326,0.01,100.0,100.0,100.0,0.0,0.0,PASS,45,70,True,3.5,2.0,5,0.2106978663822378,4,2026-09-08
