strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass
UP45_SCORE50_NIKKEION_TP4.0_SL2.0_H5,45,50,True,4.0,2.0,5,63,4,2,9.906808471478419,57.397657360077815,-6.089285138950995,17.592316513761467,17,19,89.47368421052632,89.47368421052632,97.52910294376218,975291.0294376218,-6.089285138950995,36465.2402968382,36465.2402968382,365652402.96838206,9.906808471478419,10.766025579865921,-2.766643877237276,13,1,0,8.941229270737972,577.5878703203595,-0.20159282999659967,7.993686868686869,8,8,100.0,100.0,15.145365948019936,151453.65948019936,7.908127290151623,202.16655688268804,202.16655688268804,3021665.5688268803,8.941229270737972,9.703131112465853,-0.20159282999659958,50,3,2,10.157859063670935,47.74585944508039,-6.089285138951006,26.505805515239476,9,11,81.81818181818183,81.81818181818183,157.4445480315747,1574445.480315747,-6.089285138950995,12001.021593542575,12001.021593542575,121010215.93542574,10.157859063670935,11.037402890691475,-3.6216608929841683,159.71205828793674,86.0792012201781,158.18095780946786,86.0792012201781,28,10,10,2.6310318546687417,2.442017766756588,-15.61688619726297,18.73076923076923,9,12,75.0,75.0,6.390367234309305,63903.67234309304,-15.61688619726298,95.06972181457786,95.06972181457786,1950697.2181457786,2.6310318546687417,6.930903314763545,-5.108736773501906,1.3048495864844487,True,25,8,13,3.1786602426898454,5.05906876526375,-13.191185775336267,31.16467576791809,5,6,83.33333333333334,66.66666666666666,14.911701446499933,149117.01446499932,-8.680283297392943,113.41938367755463,113.41938367755463,2134193.8367755464,3.1786602426898454,5.8261192693182595,-2.4471901888955356,2.071675658602209,False,True
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H5,45,50,False,4.0,2.0,5,63,4,2,9.906808471478419,57.397657360077815,-6.089285138950995,17.592316513761467,17,19,89.47368421052632,89.47368421052632,97.52910294376218,975291.0294376218,-6.089285138950995,36465.2402968382,36465.2402968382,365652402.96838206,9.906808471478419,10.766025579865921,-2.766643877237276,13,1,0,8.941229270737972,577.5878703203595,-0.20159282999659967,7.993686868686869,8,8,100.0,100.0,15.145365948019936,151453.65948019936,7.908127290151623,202.16655688268804,202.16655688268804,3021665.5688268803,8.941229270737972,9.703131112465853,-0.20159282999659958,50,3,2,10.157859063670935,47.74585944508039,-6.089285138951006,26.505805515239476,9,11,81.81818181818183,81.81818181818183,157.4445480315747,1574445.480315747,-6.089285138950995,12001.021593542575,12001.021593542575,121010215.93542574,10.157859063670935,11.037402890691475,-3.6216608929841683,159.71205828793674,86.0792012201781,158.18095780946786,86.0792012201781,28,10,10,2.6310318546687417,2.442017766756588,-15.61688619726297,18.73076923076923,9,12,75.0,75.0,6.390367234309305,63903.67234309304,-15.61688619726298,95.06972181457786,95.06972181457786,1950697.2181457786,2.6310318546687417,6.930903314763545,-5.108736773501906,1.3048495864844487,True,25,8,13,3.1786602426898454,5.05906876526375,-13.191185775336267,31.16467576791809,5,6,83.33333333333334,66.66666666666666,14.911701446499933,149117.01446499932,-8.680283297392943,113.41938367755463,113.41938367755463,2134193.8367755464,3.1786602426898454,5.8261192693182595,-2.4471901888955356,2.071675658602209,False,True
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H3,45,50,False,4.0,2.0,3,63,3,6,9.85385329878871,58.73391008196498,-6.089285138950995,17.592316513761467,17,19,89.47368421052632,89.47368421052632,96.11642818055721,961164.2818055721,-6.089285138950995,35478.12089176031,35478.12089176031,355781208.9176031,9.85385329878871,10.525756863337042,-3.584217992177951,13,1,1,8.740531410571737,2973.2570310966194,-0.03822916630312756,7.993686868686869,8,8,100.0,100.0,14.82185209505111,148218.5209505111,7.908127290151623,195.43074756672567,195.43074756672567,2954307.475667257,8.740531410571737,9.472094791977977,-0.038229166303127476,50,2,5,10.143316989725122,48.334864770527496,-6.089285138950995,26.505805515239476,9,11,81.81818181818183,81.81818181818183,155.23975624274343,1552397.5624274344,-6.089285138950995,11942.795540002031,11942.795540002031,120427955.40002032,10.143316989725122,10.78917238117681,-5.357212405115363,159.71205828793674,84.30309564520766,158.18095780946786,84.30309564520766,28,9,12,2.607279529831699,2.4949291951456423,-15.61688619726297,18.73076923076923,9,12,75.0,75.0,6.366574189467301,63665.74189467302,-15.61688619726298,94.73330999078526,94.73330999078526,1947333.0999078527,2.607279529831699,6.412533204007314,-5.426033782316821,1.2891093071803728,True,25,5,17,3.0408812442928617,5.562125286243492,-4.806017939757423,31.16467576791809,4,6,66.66666666666666,50.0,14.125626059663775,141256.26059663773,-3.4496875808085026,106.55124118343515,106.55124118343515,2065512.4118343515,3.0408812442928617,4.634288133303298,-3.332746311748882,2.229371998638543,False,True
UP45_SCORE50_NIKKEION_TP4.0_SL2.0_H3,45,50,True,4.0,2.0,3,63,3,6,9.85385329878871,58.73391008196498,-6.089285138950995,17.592316513761467,17,19,89.47368421052632,89.47368421052632,96.11642818055721,961164.2818055721,-6.089285138950995,35478.12089176031,35478.12089176031,355781208.9176031,9.85385329878871,10.525756863337042,-3.584217992177951,13,1,1,8.740531410571737,2973.2570310966194,-0.03822916630312756,7.993686868686869,8,8,100.0,100.0,14.82185209505111,148218.5209505111,7.908127290151623,195.43074756672567,195.43074756672567,2954307.475667257,8.740531410571737,9.472094791977977,-0.038229166303127476,50,2,5,10.143316989725122,48.334864770527496,-6.089285138950995,26.505805515239476,9,11,81.81818181818183,81.81818181818183,155.23975624274343,1552397.5624274344,-6.089285138950995,11942.795540002031,11942.795540002031,120427955.40002032,10.143316989725122,10.78917238117681,-5.357212405115363,159.71205828793674,84.30309564520766,158.18095780946786,84.30309564520766,28,9,12,2.607279529831699,2.4949291951456423,-15.61688619726297,18.73076923076923,9,12,75.0,75.0,6.366574189467301,63665.74189467302,-15.61688619726298,94.73330999078526,94.73330999078526,1947333.0999078527,2.607279529831699,6.412533204007314,-5.426033782316821,1.2891093071803728,True,25,5,17,3.0408812442928617,5.562125286243492,-4.806017939757423,31.16467576791809,4,6,66.66666666666666,50.0,14.125626059663775,141256.26059663773,-3.4496875808085026,106.55124118343515,106.55124118343515,2065512.4118343515,3.0408812442928617,4.634288133303298,-3.332746311748882,2.229371998638543,False,True
UP45_SCORE50_NIKKEION_TP4.0_SL2.0_H1,45,50,True,4.0,2.0,1,63,3,9,9.640010011303714,48.21832352486378,-6.089285138950995,17.592316513761467,17,19,89.47368421052632,89.47368421052632,92.76264018796935,927626.4018796936,-6.089285138950995,31259.740597431482,31259.740597431482,313597405.9743148,9.640010011303714,10.336376667976474,-4.287323122151487,13,0,2,8.603403795760965,inf,0.0,7.993686868686869,8,8,100.0,100.0,14.604260160539281,146042.60160539282,7.908127290151623,190.8771688115848,190.8771688115848,2908771.6881158478,8.603403795760965,8.603403795760965,0.0,50,3,7,9.909527627344827,39.52259068968881,-6.089285138950995,26.505805515239476,9,11,81.81818181818183,81.81818181818183,149.60509838973667,1496050.9838973668,-6.089285138950995,10681.093863624852,10681.093863624852,107810938.63624853,9.909527627344827,10.815709590078635,-4.287323122151487,159.71205828793674,83.10057025105797,158.18095780946786,83.10057025105797,28,9,14,2.6456617674314686,2.780640873350319,-15.61688619726297,18.73076923076923,9,12,75.0,66.66666666666666,6.6049770190399215,66049.77019039921,-15.61688619726298,98.65010298008828,98.65010298008828,1986501.0298008828,2.6456617674314686,6.088458020488994,-4.622463655689973,0.891713512384307,True,25,7,16,2.7744761669526152,9.691457466573603,-2.360464985915889,31.16467576791809,5,6,83.33333333333334,50.0,12.901939982585441,129019.39982585442,-1.9691503484714046,94.99983266753861,94.99983266753861,1949998.3266753862,2.7744761669526152,4.296798492378948,-1.1400669555722418,3.485332305748864,False,True
UP45_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H1,45,50,False,4.0,2.0,1,63,3,9,9.640010011303714,48.21832352486378,-6.089285138950995,17.592316513761467,17,19,89.47368421052632,89.47368421052632,92.76264018796935,927626.4018796936,-6.089285138950995,31259.740597431482,31259.740597431482,313597405.9743148,9.640010011303714,10.336376667976474,-4.287323122151487,13,0,2,8.603403795760965,inf,0.0,7.993686868686869,8,8,100.0,100.0,14.604260160539281,146042.60160539282,7.908127290151623,190.8771688115848,190.8771688115848,2908771.6881158478,8.603403795760965,8.603403795760965,0.0,50,3,7,9.909527627344827,39.52259068968881,-6.089285138950995,26.505805515239476,9,11,81.81818181818183,81.81818181818183,149.60509838973667,1496050.9838973668,-6.089285138950995,10681.093863624852,10681.093863624852,107810938.63624853,9.909527627344827,10.815709590078635,-4.287323122151487,159.71205828793674,83.10057025105797,158.18095780946786,83.10057025105797,28,9,14,2.6456617674314686,2.780640873350319,-15.61688619726297,18.73076923076923,9,12,75.0,66.66666666666666,6.6049770190399215,66049.77019039921,-15.61688619726298,98.65010298008828,98.65010298008828,1986501.0298008828,2.6456617674314686,6.088458020488994,-4.622463655689973,0.891713512384307,True,25,7,16,2.7744761669526152,9.691457466573603,-2.360464985915889,31.16467576791809,5,6,83.33333333333334,50.0,12.901939982585441,129019.39982585442,-1.9691503484714046,94.99983266753861,94.99983266753861,1949998.3266753862,2.7744761669526152,4.296798492378948,-1.1400669555722418,3.485332305748864,False,True
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.25_H3,45,50,False,4.0,1.25,3,63,5,6,9.369619938838763,34.11263669367363,-6.629051987767576,17.592316513761467,17,19,89.47368421052632,89.47368421052632,76.1360266534167,761360.2665341671,-3.929308795320363,26513.845792651893,26513.845792651893,266138457.92651892,9.369619938838763,10.484701138243114,-3.56532197425172,13,1,2,8.58525092738378,2920.453204158905,-0.03822916630312756,7.993686868686869,8,8,100.0,100.0,14.508575252116561,145085.75252116562,7.908127290151623,190.00785044107405,190.00785044107405,2900078.5044107405,8.58525092738378,9.303874268524357,-0.038229166303127476,50,4,4,9.573555881817057,27.909576651769274,-6.629051987767564,26.505805515239476,9,11,81.81818181818183,81.81818181818183,120.95599130890773,1209559.9130890772,-3.929308795320363,9076.939780138633,9076.939780138633,91769397.80138633,9.573555881817057,10.79274293034366,-4.447095176238869,159.69586528247223,82.8533883109144,158.16476480400334,82.8533883109144,28,9,13,2.9236056612215804,3.5146969476673084,-10.277100533511108,18.73076923076923,9,12,75.0,75.0,7.049667938299286,70496.67938299286,-10.277100533511108,115.18629748571784,115.18629748571784,2151862.9748571785,2.9236056612215804,6.021787892507734,-3.617001271493631,1.937239601796143,True,25,8,15,2.4658703514861147,3.9052668934249746,-7.350542978745345,31.16467576791809,4,6,66.66666666666666,50.0,11.0696044172471,110696.04417247101,-5.542335235193185,79.49230760267459,79.49230760267459,1794923.0760267458,2.4658703514861147,4.874454386177606,-2.6523707222333046,1.1111247858842812,False,True
UP45_SCORE50_NIKKEIOFF_TP4.0_SL1.5_H3,45,50,False,4.0,1.5,3,63,3,7,9.86318237582629,76.49121625463155,-4.6602453789079235,17.592316513761467,17,19,89.47368421052632,89.47368421052632,96.1235019230453,961235.019230453,-4.6602453789079235,35790.03534131894,35790.03534131894,358900353.41318935,9.86318237582629,10.493527541000612,-2.7437209276601684,13,1,2,8.58525092738378,2920.453204158905,-0.03822916630312756,7.993686868686869,8,8,100.0,100.0,14.508575252116561,145085.75252116562,7.908127290151623,190.00785044107405,190.00785044107405,2900078.5044107405,8.58525092738378,9.303874268524357,-0.038229166303127476,50,2,5,10.19544455242134,63.220964000414284,-4.6602453789079235,26.505805515239476,9,11,81.81818181818183,81.81818181818183,155.4798122291753,1554798.122291753,-4.6602453789079235,12275.539243759655,12275.539243759655,123755392.43759654,10.19544455242134,10.790940859119678,-4.096466808338689,159.754929480738,82.8533883109144,158.22382900226913,82.8533883109144,28,9,13,2.702936826903859,2.95401067676388,-12.102921756184449,18.73076923076923,9,12,75.0,75.0,6.510959861826572,65109.598618265714,-12.102921756184436,101.70460455746677,101.70460455746677,2017046.0455746676,2.702936826903859,6.021787892507734,-4.3035265338154325,1.6520113181288119,True,25,7,16,2.5110078766556065,4.040390979579285,-6.593944012502773,31.16467576791809,4,6,66.66666666666666,50.0,11.338327355604276,113383.27355604275,-6.593944012502773,81.47208193997602,81.47208193997602,1814720.8193997603,2.5110078766556065,4.634570960442601,-2.949582910225236,1.3677645146514958,False,True
UP45_SCORE50_NIKKEION_TP4.0_SL1.5_H3,45,50,True,4.0,1.5,3,63,3,7,9.86318237582629,76.49121625463155,-4.6602453789079235,17.592316513761467,17,19,89.47368421052632,89.47368421052632,96.1235019230453,961235.019230453,-4.6602453789079235,35790.03534131894,35790.03534131894,358900353.41318935,9.86318237582629,10.493527541000612,-2.7437209276601684,13,1,2,8.58525092738378,2920.453204158905,-0.03822916630312756,7.993686868686869,8,8,100.0,100.0,14.508575252116561,145085.75252116562,7.908127290151623,190.00785044107405,190.00785044107405,2900078.5044107405,8.58525092738378,9.303874268524357,-0.038229166303127476,50,2,5,10.19544455242134,63.220964000414284,-4.6602453789079235,26.505805515239476,9,11,81.81818181818183,81.81818181818183,155.4798122291753,1554798.122291753,-4.6602453789079235,12275.539243759655,12275.539243759655,123755392.43759654,10.19544455242134,10.790940859119678,-4.096466808338689,159.754929480738,82.8533883109144,158.22382900226913,82.8533883109144,28,9,13,2.702936826903859,2.95401067676388,-12.102921756184449,18.73076923076923,9,12,75.0,75.0,6.510959861826572,65109.598618265714,-12.102921756184436,101.70460455746677,101.70460455746677,2017046.0455746676,2.702936826903859,6.021787892507734,-4.3035265338154325,1.6520113181288119,True,25,7,16,2.5110078766556065,4.040390979579285,-6.593944012502773,31.16467576791809,4,6,66.66666666666666,50.0,11.338327355604276,113383.27355604275,-6.593944012502773,81.47208193997602,81.47208193997602,1814720.8193997603,2.5110078766556065,4.634570960442601,-2.949582910225236,1.3677645146514958,False,True
UP45_SCORE50_NIKKEION_TP4.0_SL1.25_H3,45,50,True,4.0,1.25,3,63,5,6,9.369619938838763,34.11263669367363,-6.629051987767576,17.592316513761467,17,19,89.47368421052632,89.47368421052632,76.1360266534167,761360.2665341671,-3.929308795320363,26513.845792651893,26513.845792651893,266138457.92651892,9.369619938838763,10.484701138243114,-3.56532197425172,13,1,2,8.58525092738378,2920.453204158905,-0.03822916630312756,7.993686868686869,8,8,100.0,100.0,14.508575252116561,145085.75252116562,7.908127290151623,190.00785044107405,190.00785044107405,2900078.5044107405,8.58525092738378,9.303874268524357,-0.038229166303127476,50,4,4,9.573555881817057,27.909576651769274,-6.629051987767564,26.505805515239476,9,11,81.81818181818183,81.81818181818183,120.95599130890773,1209559.9130890772,-3.929308795320363,9076.939780138633,9076.939780138633,91769397.80138633,9.573555881817057,10.79274293034366,-4.447095176238869,159.69586528247223,82.8533883109144,158.16476480400334,82.8533883109144,28,9,13,2.9236056612215804,3.5146969476673084,-10.277100533511108,18.73076923076923,9,12,75.0,75.0,7.049667938299286,70496.67938299286,-10.277100533511108,115.18629748571784,115.18629748571784,2151862.9748571785,2.9236056612215804,6.021787892507734,-3.617001271493631,1.937239601796143,True,25,8,15,2.4658703514861147,3.9052668934249746,-7.350542978745345,31.16467576791809,4,6,66.66666666666666,50.0,11.0696044172471,110696.04417247101,-5.542335235193185,79.49230760267459,79.49230760267459,1794923.0760267458,2.4658703514861147,4.874454386177606,-2.6523707222333046,1.1111247858842812,False,True
