fold,phase,up,score,nikkei,candidate_count
1,DEV,45,50,False,8
1,DEV,45,50,True,0
1,DEV,45,60,False,4
1,DEV,45,60,True,0
1,DEV,45,70,False,0
1,DEV,45,70,True,0
1,DEV,45,80,False,0
1,DEV,45,80,True,0
1,DEV,50,50,False,0
1,DEV,50,50,True,0
1,DEV,50,60,False,0
1,DEV,50,60,True,0
1,DEV,50,70,False,0
1,DEV,50,70,True,0
1,DEV,50,80,False,0
1,DEV,50,80,True,0
1,DEV,55,50,False,0
1,DEV,55,50,True,0
1,DEV,55,60,False,0
1,DEV,55,60,True,0
1,DEV,55,70,False,0
1,DEV,55,70,True,0
1,DEV,55,80,False,0
1,DEV,55,80,True,0
1,DEV,60,50,False,0
1,DEV,60,50,True,0
1,DEV,60,60,False,0
1,DEV,60,60,True,0
1,DEV,60,70,False,0
1,DEV,60,70,True,0
1,DEV,60,80,False,0
1,DEV,60,80,True,0
1,DEV,65,50,False,0
1,DEV,65,50,True,0
1,DEV,65,60,False,0
1,DEV,65,60,True,0
1,DEV,65,70,False,0
1,DEV,65,70,True,0
1,DEV,65,80,False,0
1,DEV,65,80,True,0
1,VALIDATION,45,50,False,16
1,VALIDATION,45,50,True,0
1,VALIDATION,45,60,False,5
1,VALIDATION,45,60,True,0
1,VALIDATION,45,70,False,1
1,VALIDATION,45,70,True,0
1,VALIDATION,45,80,False,0
1,VALIDATION,45,80,True,0
1,VALIDATION,50,50,False,1
1,VALIDATION,50,50,True,0
1,VALIDATION,50,60,False,1
1,VALIDATION,50,60,True,0
1,VALIDATION,50,70,False,0
1,VALIDATION,50,70,True,0
1,VALIDATION,50,80,False,0
1,VALIDATION,50,80,True,0
1,VALIDATION,55,50,False,0
1,VALIDATION,55,50,True,0
1,VALIDATION,55,60,False,0
1,VALIDATION,55,60,True,0
1,VALIDATION,55,70,False,0
1,VALIDATION,55,70,True,0
1,VALIDATION,55,80,False,0
1,VALIDATION,55,80,True,0
1,VALIDATION,60,50,False,0
1,VALIDATION,60,50,True,0
1,VALIDATION,60,60,False,0
1,VALIDATION,60,60,True,0
1,VALIDATION,60,70,False,0
1,VALIDATION,60,70,True,0
1,VALIDATION,60,80,False,0
1,VALIDATION,60,80,True,0
1,VALIDATION,65,50,False,0
1,VALIDATION,65,50,True,0
1,VALIDATION,65,60,False,0
1,VALIDATION,65,60,True,0
1,VALIDATION,65,70,False,0
1,VALIDATION,65,70,True,0
1,VALIDATION,65,80,False,0
1,VALIDATION,65,80,True,0
1,OOS,45,50,False,208
1,OOS,45,50,True,201
1,OOS,45,60,False,107
1,OOS,45,60,True,107
1,OOS,45,70,False,7
1,OOS,45,70,True,7
1,OOS,45,80,False,0
1,OOS,45,80,True,0
1,OOS,50,50,False,54
1,OOS,50,50,True,53
1,OOS,50,60,False,27
1,OOS,50,60,True,27
1,OOS,50,70,False,1
1,OOS,50,70,True,1
1,OOS,50,80,False,0
1,OOS,50,80,True,0
1,OOS,55,50,False,4
1,OOS,55,50,True,4
1,OOS,55,60,False,2
1,OOS,55,60,True,2
1,OOS,55,70,False,0
1,OOS,55,70,True,0
1,OOS,55,80,False,0
1,OOS,55,80,True,0
1,OOS,60,50,False,0
1,OOS,60,50,True,0
1,OOS,60,60,False,0
1,OOS,60,60,True,0
1,OOS,60,70,False,0
1,OOS,60,70,True,0
1,OOS,60,80,False,0
1,OOS,60,80,True,0
1,OOS,65,50,False,0
1,OOS,65,50,True,0
1,OOS,65,60,False,0
1,OOS,65,60,True,0
1,OOS,65,70,False,0
1,OOS,65,70,True,0
1,OOS,65,80,False,0
1,OOS,65,80,True,0
2,DEV,45,50,False,24
2,DEV,45,50,True,0
2,DEV,45,60,False,9
2,DEV,45,60,True,0
2,DEV,45,70,False,1
2,DEV,45,70,True,0
2,DEV,45,80,False,0
2,DEV,45,80,True,0
2,DEV,50,50,False,1
2,DEV,50,50,True,0
2,DEV,50,60,False,1
2,DEV,50,60,True,0
2,DEV,50,70,False,0
2,DEV,50,70,True,0
2,DEV,50,80,False,0
2,DEV,50,80,True,0
2,DEV,55,50,False,0
2,DEV,55,50,True,0
2,DEV,55,60,False,0
2,DEV,55,60,True,0
2,DEV,55,70,False,0
2,DEV,55,70,True,0
2,DEV,55,80,False,0
2,DEV,55,80,True,0
2,DEV,60,50,False,0
2,DEV,60,50,True,0
2,DEV,60,60,False,0
2,DEV,60,60,True,0
2,DEV,60,70,False,0
2,DEV,60,70,True,0
2,DEV,60,80,False,0
2,DEV,60,80,True,0
2,DEV,65,50,False,0
2,DEV,65,50,True,0
2,DEV,65,60,False,0
2,DEV,65,60,True,0
2,DEV,65,70,False,0
2,DEV,65,70,True,0
2,DEV,65,80,False,0
2,DEV,65,80,True,0
2,VALIDATION,45,50,False,155
2,VALIDATION,45,50,True,155
2,VALIDATION,45,60,False,84
2,VALIDATION,45,60,True,84
2,VALIDATION,45,70,False,3
2,VALIDATION,45,70,True,3
2,VALIDATION,45,80,False,0
2,VALIDATION,45,80,True,0
2,VALIDATION,50,50,False,44
2,VALIDATION,50,50,True,44
2,VALIDATION,50,60,False,24
2,VALIDATION,50,60,True,24
2,VALIDATION,50,70,False,1
2,VALIDATION,50,70,True,1
2,VALIDATION,50,80,False,0
2,VALIDATION,50,80,True,0
2,VALIDATION,55,50,False,3
2,VALIDATION,55,50,True,3
2,VALIDATION,55,60,False,2
2,VALIDATION,55,60,True,2
2,VALIDATION,55,70,False,0
2,VALIDATION,55,70,True,0
2,VALIDATION,55,80,False,0
2,VALIDATION,55,80,True,0
2,VALIDATION,60,50,False,0
2,VALIDATION,60,50,True,0
2,VALIDATION,60,60,False,0
2,VALIDATION,60,60,True,0
2,VALIDATION,60,70,False,0
2,VALIDATION,60,70,True,0
2,VALIDATION,60,80,False,0
2,VALIDATION,60,80,True,0
2,VALIDATION,65,50,False,0
