strategy,up,score,nikkei,tp,sl,hold,validation_signals,validation_wins,validation_losses,validation_holds,validation_win_rate,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,pf_ci_lower,mean_ci_lower,sample_class,regime_status,regime_coverage,validation_gate,paper_status,required_new_trades
UP45_SCORE60_NIKKEIOFF_TP4.0_SL1.75_H3,45,60,False,4.0,1.75,3,26,4,6,16,40.0,2.5237289031363184,3.336156149870897,-13.969252931207576,52.0,1.2085165846156012,0.4728486294346797,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP4.0_SL2.0_H3,45,60,False,4.0,2.0,3,26,4,5,17,44.44444444444444,2.939331308667393,5.352779215005494,-3.8453821907717733,52.0,2.0026920272348216,1.2910157096898156,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP4.0_SL1.0_H3,45,60,False,4.0,1.0,3,26,4,7,15,36.36363636363637,2.8352218588088074,4.712823897776098,-8.193199163990528,52.0,1.8283271099649019,1.163287752689518,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP4.0_SL1.25_H3,45,60,False,4.0,1.25,3,26,4,6,16,40.0,2.7901996801629396,4.428520152115897,-10.139400001232012,52.0,1.6393859018199008,1.0204749135269606,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP4.0_SL1.5_H3,45,60,False,4.0,1.5,3,26,4,6,16,40.0,2.6569642916496288,3.805499203238717,-12.064751256971029,52.0,1.392355077700555,0.735129569806546,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP4.0_SL1.75_H3,45,60,True,4.0,1.75,3,26,4,6,16,40.0,2.5237289031363184,3.336156149870897,-13.969252931207576,52.0,1.2085165846156012,0.4728486294346797,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP4.0_SL2.0_H3,45,60,True,4.0,2.0,3,26,4,5,17,44.44444444444444,2.939331308667393,5.352779215005494,-3.8453821907717733,52.0,2.0026920272348216,1.2910157096898156,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP4.0_SL1.0_H3,45,60,True,4.0,1.0,3,26,4,7,15,36.36363636363637,2.8352218588088074,4.712823897776098,-8.193199163990528,52.0,1.8283271099649019,1.163287752689518,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP4.0_SL1.25_H3,45,60,True,4.0,1.25,3,26,4,6,16,40.0,2.7901996801629396,4.428520152115897,-10.139400001232012,52.0,1.6393859018199008,1.0204749135269606,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP4.0_SL1.5_H3,45,60,True,4.0,1.5,3,26,4,6,16,40.0,2.6569642916496288,3.805499203238717,-12.064751256971029,52.0,1.392355077700555,0.735129569806546,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL2.0_H5,50,50,True,4.0,2.0,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL1.25_H5,50,50,True,4.0,1.25,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.75_H5,50,50,False,4.0,1.75,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H5,50,50,False,4.0,2.0,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.5_H5,50,50,False,4.0,1.5,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H5,50,50,False,4.0,1.0,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.25_H5,50,50,False,4.0,1.25,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL1.5_H5,50,50,True,4.0,1.5,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL1.75_H5,50,50,True,4.0,1.75,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL1.0_H5,50,50,True,4.0,1.0,5,1,0,0,1,0.0,3.652246973156126,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP3.5_SL1.75_H3,45,60,False,3.5,1.75,3,26,5,6,15,45.45454545454545,2.6302492533583592,3.43475951846107,-13.969252931207576,52.0,1.2326527862680359,0.5142431166905258,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP3.5_SL2.0_H3,45,60,False,3.5,2.0,3,26,5,5,16,50.0,3.0458516588894335,5.510522428590973,-3.8453821907717733,52.0,2.051869036773502,1.353075370225818,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEIOFF_TP3.5_SL1.0_H3,45,60,False,3.5,1.0,3,26,5,7,14,41.66666666666667,2.9417422090308483,4.852316086253382,-8.193199163990528,52.0,1.8225033463914047,1.1496306362174762,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP3.5_SL2.0_H3,45,60,True,3.5,2.0,3,26,5,5,16,50.0,3.0458516588894335,5.510522428590973,-3.8453821907717733,52.0,2.051869036773502,1.353075370225818,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP3.5_SL1.75_H3,45,60,True,3.5,1.75,3,26,5,6,15,45.45454545454545,2.6302492533583592,3.43475951846107,-13.969252931207576,52.0,1.2326527862680359,0.5142431166905258,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP45_SCORE60_NIKKEION_TP3.5_SL1.0_H3,45,60,True,3.5,1.0,3,26,5,7,14,41.66666666666667,2.9417422090308483,4.852316086253382,-8.193199163990528,52.0,1.8225033463914047,1.1496306362174762,HOLD,PASS,0.5,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL1.75_H3,50,50,True,4.0,1.75,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H3,50,50,False,4.0,1.0,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL2.0_H3,50,50,True,4.0,2.0,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEION_TP4.0_SL1.5_H3,50,50,True,4.0,1.5,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.5_H3,50,50,False,4.0,1.5,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL1.75_H3,50,50,False,4.0,1.75,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
UP50_SCORE50_NIKKEIOFF_TP4.0_SL2.0_H3,50,50,False,4.0,2.0,3,1,0,0,1,0.0,4.734669951624138,inf,0.0,2.0,,,REJECT,UNVERIFIED,0.0,HOLD,PAPER_TRADE,30
