strategy,month,signals,avg_return,total_return,wins,losses,holds,win_rate
UP50_NIKKEIOFF_BASE,2022-03,1,-1.9902653405823794,-1.9902653405823794,0,1,0,0.0
UP50_NIKKEIOFF_BASE,2022-07,3,-1.5758397439607619,-4.727519231882286,0,3,0,0.0
UP50_NIKKEIOFF_BASE,2022-12,21,-0.9106779891796789,-19.124237772773256,0,13,8,0.0
UP50_NIKKEIOFF_BASE,2023-01,3,2.2076840159393716,6.623052047818115,1,1,1,50.0
UP50_NIKKEIOFF_BASE,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEIOFF_BASE,2023-07,6,-2.318968918603601,-13.913813511621607,0,6,0,0.0
UP50_NIKKEIOFF_BASE,2023-10,3,2.31236264228213,6.93708792684639,0,0,3,0.0
UP50_NIKKEIOFF_BASE,2024-03,3,0.014787954777017257,0.04436386433105177,1,2,0,33.33333333333333
UP50_NIKKEIOFF_BASE,2024-04,9,2.987102431319259,26.88392188187333,2,3,4,40.0
UP50_NIKKEIOFF_BASE,2024-07,3,-3.5452623737664184,-10.635787121299256,0,3,0,0.0
UP50_NIKKEIOFF_BASE,2024-08,6,2.87888199760447,17.27329198562682,0,3,3,0.0
UP50_NIKKEIOFF_BASE,2025-03,18,-0.7330628292798479,-13.195130927037262,1,13,4,7.142857142857142
UP50_NIKKEIOFF_BASE,2025-04,23,-0.9327901356750412,-21.454173120525947,2,14,7,12.5
UP50_NIKKEIOFF_TESTA55,2022-03,1,-1.9902653405823794,-1.9902653405823794,0,1,0,0.0
UP50_NIKKEIOFF_TESTA55,2022-12,10,-0.7896749065840094,-7.896749065840094,0,7,3,0.0
UP50_NIKKEIOFF_TESTA55,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEIOFF_TESTA55,2023-07,6,-2.318968918603601,-13.913813511621607,0,6,0,0.0
UP50_NIKKEIOFF_TESTA55,2024-03,2,1.2914576244641198,2.5829152489282396,1,1,0,50.0
UP50_NIKKEIOFF_TESTA55,2024-04,3,3.581620865010288,10.744862595030863,0,0,3,0.0
UP50_NIKKEIOFF_TESTA55,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP50_NIKKEIOFF_TESTA55,2024-08,3,-3.698601282298847,-11.09580384689654,0,3,0,0.0
UP50_NIKKEIOFF_TESTA55,2025-03,13,0.1269594594074253,1.6504729722965292,1,8,4,11.11111111111111
UP50_NIKKEIOFF_TESTA55,2025-04,12,-1.801747747961187,-21.620972975534244,1,10,1,9.090909090909092
UP50_NIKKEIOFF_TESTA65,2022-12,5,-0.8788086040737586,-4.394043020368793,0,3,2,0.0
UP50_NIKKEIOFF_TESTA65,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEIOFF_TESTA65,2023-07,5,-2.4255588244246673,-12.127794122123337,0,5,0,0.0
UP50_NIKKEIOFF_TESTA65,2024-03,2,1.2914576244641198,2.5829152489282396,1,1,0,50.0
UP50_NIKKEIOFF_TESTA65,2024-04,3,3.9624817372136634,11.88744521164099,0,0,3,0.0
UP50_NIKKEIOFF_TESTA65,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP50_NIKKEIOFF_TESTA65,2024-08,1,-4.772161998005761,-4.772161998005761,0,1,0,0.0
UP50_NIKKEIOFF_TESTA65,2025-03,6,-0.15015857462108073,-0.9009514477264844,1,4,1,20.0
UP50_NIKKEIOFF_TESTA65,2025-04,9,-3.8693152094432324,-34.82383688498909,0,9,0,0.0
UP50_NIKKEIOFF_TESTA75,2022-12,3,-1.0055713624959386,-3.0167140874878156,0,2,1,0.0
UP50_NIKKEIOFF_TESTA75,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEIOFF_TESTA75,2023-07,4,-2.2428010893661785,-8.971204357464714,0,4,0,0.0
UP50_NIKKEIOFF_TESTA75,2024-03,2,1.2914576244641198,2.5829152489282396,1,1,0,50.0
UP50_NIKKEIOFF_TESTA75,2024-04,2,2.9346731090688514,5.869346218137703,0,0,2,0.0
UP50_NIKKEIOFF_TESTA75,2024-07,1,-3.4393814387276302,-3.4393814387276302,0,1,0,0.0
UP50_NIKKEIOFF_TESTA75,2025-03,5,0.7053056066429129,3.5265280332145643,1,3,1,25.0
UP50_NIKKEIOFF_TESTA75,2025-04,9,-4.224467063589492,-38.02020357230543,0,9,0,0.0
UP50_NIKKEION_BASE,2022-12,18,-1.0881419743871972,-19.58655553896955,0,11,7,0.0
UP50_NIKKEION_BASE,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEION_BASE,2023-07,6,-2.318968918603601,-13.913813511621607,0,6,0,0.0
UP50_NIKKEION_BASE,2024-03,3,0.014787954777017257,0.04436386433105177,1,2,0,33.33333333333333
UP50_NIKKEION_BASE,2024-04,9,2.987102431319259,26.88392188187333,2,3,4,40.0
UP50_NIKKEION_BASE,2024-07,3,-3.5452623737664184,-10.635787121299256,0,3,0,0.0
UP50_NIKKEION_BASE,2024-08,6,2.87888199760447,17.27329198562682,0,3,3,0.0
UP50_NIKKEION_TESTA55,2022-12,10,-0.7896749065840094,-7.896749065840094,0,7,3,0.0
UP50_NIKKEION_TESTA55,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEION_TESTA55,2023-07,6,-2.318968918603601,-13.913813511621607,0,6,0,0.0
UP50_NIKKEION_TESTA55,2024-03,2,1.2914576244641198,2.5829152489282396,1,1,0,50.0
UP50_NIKKEION_TESTA55,2024-04,3,3.581620865010288,10.744862595030863,0,0,3,0.0
