date,ticker,rank,score,signal,nikkei_uptrend,up_prob,flat_prob,down_prob,price,take_profit,stop_loss,return,hold_days,result,exit_price
2022-01-27,9509.T,1,43.06,🔴 買わない,False,31.93,24.47,43.6,451.4750671386719,476.0,439.0,1.006,5,HOLD,456.0170593261719
2022-01-27,7269.T,2,40.51,🔴 買わない,False,27.51,36.0,36.49,1081.005615234375,1184.0,1030.0,5.9441,5,HOLD,1145.2620849609375
2022-01-27,9984.T,3,35.47,🔴 買わない,False,26.91,35.48,37.61,1142.4700927734375,1311.0,1058.0,10.7204,5,HOLD,1264.9471435546875
2022-01-28,9509.T,1,45.46,🔴 買わない,False,39.92,29.86,30.22,459.650634765625,485.0,447.0,-2.7522,2,LOSS,447.0
2022-01-28,9501.T,2,39.85,🟡 監視,False,41.53,29.32,29.16,323.0,343.0,313.0,-3.096,1,LOSS,313.0
2022-01-28,4980.T,3,36.13,🔴 買わない,False,29.14,38.68,32.18,897.3136596679688,1056.0,818.0,8.6374,5,HOLD,974.8184204101562
2022-01-31,9509.T,1,43.62,🔴 買わない,False,33.8,36.25,29.94,453.2918395996094,479.0,440.0,0.8016,5,HOLD,456.9253845214844
2022-01-31,5803.T,2,40.44,🔴 買わない,False,27.27,39.84,32.89,91.74454498291016,104.0,86.0,0.6494,5,HOLD,92.34030151367188
2022-01-31,9501.T,3,36.36,🔴 買わない,False,29.9,38.42,31.68,306.0,330.0,294.0,7.8431,1,WIN,330.0
2022-02-01,9509.T,1,44.27,🔴 買わない,False,35.97,33.75,30.27,459.650634765625,488.0,445.0,0.5929,5,HOLD,462.3758544921875
2022-02-01,9501.T,2,35.25,🔴 買わない,False,26.19,35.89,37.92,330.0,358.0,316.0,8.4848,3,WIN,358.0
2022-02-01,8031.T,3,30.75,🔴 買わない,False,31.47,39.74,28.78,1230.0333251953125,1311.0,1190.0,5.4517,5,HOLD,1297.0904541015625
2022-02-02,8306.T,1,48.35,🟡 監視(拮抗),False,29.28,42.0,28.72,613.38525390625,660.0,590.0,4.6453,5,HOLD,641.8790893554688
2022-02-02,9501.T,2,38.62,🔴 買わない,False,27.29,37.5,35.21,335.0,366.0,320.0,7.4627,5,HOLD,360.0
2022-02-02,8031.T,3,35.84,🔴 買わない,False,38.31,35.54,26.14,1257.159912109375,1338.0,1217.0,4.0221,5,HOLD,1307.72412109375
2022-02-03,4980.T,1,54.74,🔴 買わない,False,24.2,51.84,23.95,1031.8956298828125,1203.0,946.0,-8.3241,2,LOSS,946.0
2022-02-03,8306.T,2,47.7,🔴 買わない,False,27.13,49.78,23.09,613.6411743164062,660.0,590.0,3.7258,5,HOLD,636.5045166015625
2022-02-03,8031.T,3,47.62,🔴 買わない,False,36.99,38.76,24.25,1248.913330078125,1329.0,1209.0,5.404,5,HOLD,1316.40478515625
2022-02-04,8031.T,1,63.61,🔴 買わない,False,39.56,35.83,24.61,1285.8056640625,1367.0,1245.0,3.2911,5,HOLD,1328.1234130859375
2022-02-04,8306.T,2,49.3,🔴 買わない,False,32.46,36.65,30.89,619.1011352539062,664.0,596.0,3.8583,5,HOLD,642.9880981445312
2022-02-04,4980.T,3,38.69,🔴 買わない,False,27.53,42.28,30.19,974.8184204101562,1157.0,884.0,-5.7011,5,TIMEOUT_LOSS,919.2432861328125
2022-02-07,8031.T,1,50.7,🔴 買わない,False,37.11,32.91,29.98,1286.890869140625,1368.0,1246.0,-0.0337,5,TIMEOUT_LOSS,1286.4566650390625
2022-02-07,8306.T,2,49.89,🔴 買わない,False,34.41,32.78,32.82,631.5565185546875,674.0,610.0,-0.8375,5,TIMEOUT_LOSS,626.2671508789062
2022-02-07,5803.T,3,43.21,🔴 買わない,False,26.34,42.77,30.89,92.34030151367188,105.0,86.0,4.8387,5,HOLD,96.80838775634766
