strategy,threshold,nikkei_filter,testa_threshold,signals,wins,losses,holds,win_rate,avg_return,profit_factor,max_drawdown,avg_hold_days
UP50_NIKKEION_BASE,50,True,BASE,60,14,27,19,34.146341463414636,2.411027191388516,1.957377257905304,-41.60791855028595,4.033333333333333
UP50_NIKKEION_TESTA55,50,True,55,60,14,27,19,34.146341463414636,2.411027191388516,1.957377257905304,-41.60791855028595,4.033333333333333
UP50_NIKKEION_TESTA65,50,True,65,58,14,27,17,34.146341463414636,2.449020704812645,1.940048365052799,-41.60791855028595,4.0
UP50_NIKKEION_TESTA75,50,True,75,50,14,23,13,37.83783783783784,3.233421127023095,2.5969787792313843,-37.785185825524714,3.96
UP50_NIKKEIOFF_BASE,50,False,BASE,63,16,27,20,37.2093023255814,3.14505860035104,2.311290875932678,-41.60791855028593,4.015873015873016
UP50_NIKKEIOFF_TESTA55,50,False,55,60,14,27,19,34.146341463414636,2.411027191388516,1.957377257905304,-41.60791855028595,4.033333333333333
UP50_NIKKEIOFF_TESTA65,50,False,65,58,14,27,17,34.146341463414636,2.449020704812645,1.940048365052799,-41.60791855028595,4.0
UP50_NIKKEIOFF_TESTA75,50,False,75,50,14,23,13,37.83783783783784,3.233421127023095,2.5969787792313843,-37.785185825524714,3.96
UP55_NIKKEION_BASE,55,True,BASE,12,5,4,3,55.55555555555556,4.7614797806164955,2.9298898367240804,-16.90708298708855,3.5833333333333335
UP55_NIKKEION_TESTA55,55,True,55,12,5,4,3,55.55555555555556,4.7614797806164955,2.9298898367240804,-16.90708298708855,3.5833333333333335
UP55_NIKKEION_TESTA65,55,True,65,12,5,4,3,55.55555555555556,4.7614797806164955,2.9298898367240804,-16.90708298708855,3.5833333333333335
UP55_NIKKEION_TESTA75,55,True,75,11,5,4,2,55.55555555555556,5.046235224386485,2.8748628532454834,-16.90708298708855,3.4545454545454546
UP55_NIKKEIOFF_BASE,55,False,BASE,13,6,4,3,60.0,5.796115134042636,3.5450111216423457,-11.825710158883007,3.5384615384615383
UP55_NIKKEIOFF_TESTA55,55,False,55,12,5,4,3,55.55555555555556,4.7614797806164955,2.9298898367240804,-16.90708298708855,3.5833333333333335
UP55_NIKKEIOFF_TESTA65,55,False,65,12,5,4,3,55.55555555555556,4.7614797806164955,2.9298898367240804,-16.90708298708855,3.5833333333333335
UP55_NIKKEIOFF_TESTA75,55,False,75,11,5,4,2,55.55555555555556,5.046235224386485,2.8748628532454834,-16.90708298708855,3.4545454545454546
UP60_NIKKEION_BASE,60,True,BASE,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEION_TESTA55,60,True,55,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEION_TESTA65,60,True,65,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEION_TESTA75,60,True,75,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEIOFF_BASE,60,False,BASE,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEIOFF_TESTA55,60,False,55,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEIOFF_TESTA65,60,False,65,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP60_NIKKEIOFF_TESTA75,60,False,75,1,1,0,0,100.0,6.331221583920445,inf,0.0,3.0
UP65_NIKKEION_BASE,65,True,BASE,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEION_TESTA55,65,True,55,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEION_TESTA65,65,True,65,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEION_TESTA75,65,True,75,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEIOFF_BASE,65,False,BASE,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEIOFF_TESTA55,65,False,55,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEIOFF_TESTA65,65,False,65,0,0,0,0,0.0,0.0,0.0,0.0,0.0
UP65_NIKKEIOFF_TESTA75,65,False,75,0,0,0,0,0.0,0.0,0.0,0.0,0.0
