strategy,phase,signals,wins,losses,holds,win_rate,avg_return,profit_factor,max_drawdown,avg_hold_days
UP50_NIKKEIOFF_BASE,DEV,32,7,15,10,31.818181818181817,0.6417542978844146,1.4150544775252298,-31.305425983897138,4.0
UP50_NIKKEIOFF_BASE,OOS,27,8,9,10,47.05882352941176,5.8988819882482,3.1718155140753215,-31.4634732297155,4.148148148148148
UP50_NIKKEIOFF_BASE,VALIDATION,4,3,0,1,100.0,14.66436974216736,inf,0.0,3.5
UP50_NIKKEIOFF_TESTA55,DEV,32,7,15,10,31.818181818181817,0.6417542978844146,1.4150544775252298,-31.305425983897138,4.0
UP50_NIKKEIOFF_TESTA55,OOS,27,8,9,10,47.05882352941176,5.8988819882482,3.1718155140753215,-31.4634732297155,4.148148148148148
UP50_NIKKEIOFF_TESTA55,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP50_NIKKEIOFF_TESTA65,DEV,32,7,15,10,31.818181818181817,0.6417542978844146,1.4150544775252298,-31.305425983897138,4.0
UP50_NIKKEIOFF_TESTA65,OOS,25,8,9,8,47.05882352941176,6.266055323140954,3.136110391571621,-31.46347322971549,4.08
UP50_NIKKEIOFF_TESTA65,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP50_NIKKEIOFF_TESTA75,DEV,31,7,15,9,31.818181818181817,0.46711054951632336,1.2926629249489223,-31.331352504555777,3.967741935483871
UP50_NIKKEIOFF_TESTA75,OOS,18,8,6,4,57.14285714285714,9.016221662662318,5.240716582192966,-20.280419466683174,3.888888888888889
UP50_NIKKEIOFF_TESTA75,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP50_NIKKEION_BASE,DEV,32,7,15,10,31.818181818181817,0.6417542978844146,1.4150544775252298,-31.305425983897138,4.0
UP50_NIKKEION_BASE,OOS,27,8,9,10,47.05882352941176,5.8988819882482,3.1718155140753215,-31.4634732297155,4.148148148148148
UP50_NIKKEION_BASE,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP50_NIKKEION_TESTA55,DEV,32,7,15,10,31.818181818181817,0.6417542978844146,1.4150544775252298,-31.305425983897138,4.0
UP50_NIKKEION_TESTA55,OOS,27,8,9,10,47.05882352941176,5.8988819882482,3.1718155140753215,-31.4634732297155,4.148148148148148
UP50_NIKKEION_TESTA55,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP50_NIKKEION_TESTA65,DEV,32,7,15,10,31.818181818181817,0.6417542978844146,1.4150544775252298,-31.305425983897138,4.0
UP50_NIKKEION_TESTA65,OOS,25,8,9,8,47.05882352941176,6.266055323140954,3.136110391571621,-31.46347322971549,4.08
UP50_NIKKEION_TESTA65,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP50_NIKKEION_TESTA75,DEV,31,7,15,9,31.818181818181817,0.46711054951632336,1.2926629249489223,-31.331352504555777,3.967741935483871
UP50_NIKKEION_TESTA75,OOS,18,8,6,4,57.14285714285714,9.016221662662318,5.240716582192966,-20.280419466683174,3.888888888888889
UP50_NIKKEION_TESTA75,VALIDATION,1,0,0,1,0.0,2.800389700460347,inf,0.0,5.0
UP55_NIKKEIOFF_BASE,DEV,6,3,2,1,60.0,3.0976848347156984,3.6011533096233674,-7.017770021425928,3.8333333333333335
UP55_NIKKEIOFF_BASE,OOS,7,2,2,3,50.0,6.17953184521076,2.92582318275595,-11.825710158883007,3.5714285714285716
UP55_NIKKEIOFF_BASE,VALIDATION,1,1,0,0,100.0,18.21173937515631,inf,0.0,3.0
UP55_NIKKEIOFF_TESTA55,DEV,6,3,2,1,60.0,3.0976848347156984,3.6011533096233674,-7.017770021425928,3.8333333333333335
UP55_NIKKEIOFF_TESTA55,OOS,7,2,2,3,50.0,6.17953184521076,2.92582318275595,-11.825710158883007,3.5714285714285716
UP55_NIKKEIOFF_TESTA65,DEV,6,3,2,1,60.0,3.0976848347156984,3.6011533096233674,-7.017770021425928,3.8333333333333335
UP55_NIKKEIOFF_TESTA65,OOS,7,2,2,3,50.0,6.17953184521076,2.92582318275595,-11.825710158883007,3.5714285714285716
